"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
41759	20110930	FARMERS STATE BANK OF ELKTON	1416	ELKTON	MN	55933	
41825	20110930	Middletown Valley Bank	14017	Middletown	MD	217690075	
41937	20110930	FARMERS STATE BANK OF DANFORTH	10802	DANFORTH	IL	609300168	
41955	20110930	Bank of Newman Grove	5447	Newman Grove	NE	68758	
42037	20110930	Peoples Exchange Bank of Monroe County	70	Monroeville	AL	36461	
42055	20110930	ANADARKO BANK AND TRUST COMPANY	15354	ANADARKO	OK	73005	
42354	20110930	THE COMMERCIAL NATIONAL BANK OF BRADY	3110	BRADY	TX	768250591	
42420	20110930	FIRST COMMONWEALTH BANK	7468	INDIANA	PA	157010400	
42448	20110930	FIRST NATIONAL BANK	3887	PARAGOULD	AR	72451	
42457	20110930	COMMERCIAL BANK	12246	Nelson	NE	68961	
43052	20110930	SECURITY STATE BANK	9036	IRON RIVER	WI	54847	
43351	20110930	Leonardville State Bank	17685	Leonardville	KS	664490125	
43454	20110930	American State Bank of Erskine	10204	Erskine	MN	56535	
43744	20110930	Cambridge State Bank	14823	Cambridge	WI	53523	
43856	20110930	THE MINERS NATIONAL BANK OF EVELETH	5141	EVELETH	MN	55734	
43959	20110930	Bridge City State Bank	18155	Bridge City	TX	776110887	
44040	20110930	First National Bank Of Monterey, The	4364	Monterey	IN	46960	
44433	20110930	Intercredit Bank, National Association	25258	Miami	FL	33131	
44741	20110930	Citizens Bank	9647	Mooresville	IN	46158	
44750	20110930	Citizens Bank of Newburg	16126	Newburg	MO	65550	
44929	20110930	First National Bank	6637	McConnelsville	OH	437560208	
45038	20110930	STATE BANK OF DAVIS	5740	DAVIS	IL	61019	
45047	20110930	The First National Bank at Paris	14534	Paris	AR	72855	
45056	20110930	Platte Valley Bank	9818	North Bend	NE	686490500	
45430	20110930	Johnson County Bank	22070	Mountain City	TN	37683	
45458	20110930	THE STATE BANK OF LEON	17927	LEON	KS	67074	
45551	20110930	Bank Midwest	5170	Spirit Lake	IA	51360	
45560	20110930	Jefferson Bank	16470	San Antonio	TX	782010190	
45775	20110930	Iron Workers Bank	28908	Aston	PA	19014	
46053	20110930	The State Bank of Faribault	1610	Faribault	MN	55021	
46941	20110930	FARMERS BANK & TRUST COMPANY	2765	PRINCETON	KY	424450559	
47153	20110930	NORTH LOUP VALLEY BANK	16468	NORTH LOUP	NE	688590006	
47247	20110930	The Dart Bank	5033	Mason	MI	48854	
47256	20110930	COMMUNITY FINANCIAL BANK	27053	PRENTICE	WI	545560115	
47452	20110930	FIRST NATIONAL BANK OF BENTON	25065	BENTON	LA	71006	
47500	20110930	Claremont Savings Bank	18038	Claremont	NH	3743	
48057	20110930	FARMERS NATIONAL BANK	4775	STAFFORD	KS	67578	
48150	20110930	Franklin State Bank	16778	Franklin	MN	55333	
48374	20110930	First Financial Bank	28905	El Dorado	AR	71730	
48440	20110930	CLEVELAND STATE BANK	9517	CLEVELAND	WI	53015	
49054	20110930	Commerce Bank	10212	Geneva	MN	56035	
49148	20110930	RUSHVILLE STATE BANK	9265	RUSHVILLE	IL	626810050	
49241	20110930	Pine Bluff National Bank	19371	Pine Bluff	AR	716117878	
49344	20110930	Mason State Bank	1001	Mason	MI	48854	
49643	20110930	Palmyra State Bank	15116	Palmyra	WI	53156	
49652	20110930	First Bank	16473	Sterling	KS	67579	
49821	20110930	High Point Bank and Trust Company	12267	High Point	NC	27261	
49858	20110930	Bank of South Texas	26727	McAllen	TX	78504	
49951	20110930	The First Security Bank	4041	Beaver	OK	739320947	
50144	20110930	State Bank of Medora	14561	Medora	IN	47260	
50461	20110930	California Pacific Bank	23242	San Francisco	CA	94104	
50546	20110930	LITTLE RIVER BANK	1298	LEPANTO	AR	72354	
50854	20110930	WILBURTON STATE BANK	2332	WILBURTON, OK  74578	OK	74578	
50957	20110930	Alterra Bank	1149	Overland Park	KS	66221	
51253	20110930	Bank of Camden	9176	Camden	TN	38320	
51356	20110930	latimer state bank	22839	wilburton	OK	745780070	
51459	20110930	Centera Bank	16436	Sublette	KS	67877	
51730	20110930	City Bank of Hartford	22131	Hartford	AL	36344	
51842	20110930	FARMERS & MERCHANTS UNION BANK	14445	COLUMBUS	WI	53925	
52410	20110930	BARTLETT FARMERS BANK	9133	BARTLETT	OH	45713	
52719	20110930	The Depository Trust Company	90544	New York	NY	10041	
52951	20110930	Security State Bank Of Wewoka, Oklahoma	8980	Wewoka	OK	74884	
53033	20110930	Sabadell United Bank, N.A.	21837	Miami	FL	331313128	
53051	20110930	Buckholts State Bank	11916	Buckholts	TX	76518	
53239	20110930	Guaranty Bank	16928	Mamou	LA	70554	
53453	20110930	FIRST NATIONAL BANK IN WEWOKA	15008	WEWOKA	OK	748840750	
53752	20110930	FIRST STATE BANK, HEMPHILL, TEXAS	16182	HEMPHILL	TX	75948	
54049	20110930	Bank of Poynette	11603	Poynette	WI	53955	
54058	20110930	The Bank of Tescott	1868	Tescott	KS	67484	
54375	20110930	YOUR COMMUNITY BANK	28915	NEW ALBANY	IN	471510939	
54441	20110930	AMERICAN BANK & TRUST WISCONSIN	6183	CUBA CITY	WI	538070827	
54656	20110930	Citizens State Bank	12501	Buffalo	TX	75831	
55176	20110930	Home Savings Bank of Albemarle, SSB	30668	Albemarle	NC	280020489	
55336	20110930	METAIRIE BANK & TRUST	16539	METAIRIE	LA	70004	
55635	20110930	Citizens Savings Bank & Trust	10319	Nashville	TN	37208	
55653	20110930	Fidelity State Bank   Trust Co.	01150	Topeka	KS	66603	
56258	20110930	Citizens Bank & Trust Co., Hutchinson, Minn.	10218	Hutchinson	MN	553500339	
56351	20110930	Citizens National Bank	3250	Henderson	TX	756531009	
56427	20110930	The Citizens National Bank of Meyersdale	7919	Meyersdale	PA	15552	
56548	20110930	DMB Community Bank	14769	DeForest	WI	535321156	
56557	20110930	CoBiz Bank	22683	Denver	CO	80202	
56717	20110930	The Dime Bank	9888	Honesdale	PA	18431	
57040	20110930	First National Bank at Darlington	14468	Darlington	WI	535300050	
57228	20110930	New Windsor State Bank	5866	New Windsor	MD	217760489	
57255	20110930	FIRST NATIONAL BANK OF BYERS	3122	BYERS	TX	76357	
57451	20110930	Dairy State Bank	17162	Rice Lake	WI	54868	
57572	20110930	FAMILYFIRST BANK	26594	WARE	MA	10820849	
57956	20110930	First Financial Bank, Hereford	16589	Hereford	TX	79045	
58074	20110930	Adams Co-Operative Bank	26568	Adams	MA	01220	
58207	20110930	First Colebrook Bank	6212	Colebrook	NH	3576	
58225	20110930	FARMERS BANK & SAVINGS CO.	769	Pomeroy	OH	45769	
58243	20110930	Johnson Bank	20296	Racine	WI	53403	
58355	20110930	KENT STATE BANK	9733	KENT	MN	565530051	
58551	20110930	SECURITY STATE BANK	421	CHEYENNE	OK	73628	
58636	20110930	CENTURY BANK	11448	LUCEDALE	MS	39452	
58757	20110930	First State Bank of Kensington	1409	Kensington	MN	56343	
58971	20110930	Washington Trust Bank	1281	Spokane	WA	992102127	
59316	20110930	Wayne Bank	698	Honesdale	PA	184310269	
59352	20110930	CITIZENS NATIONAL BANK	3127	CAMERON	TX	76520	
59679	20110930	ECONOMY CO-OPERATIVE BANK	26583	Merrimac	MA	1860	
59754	20110930	THE BANK OF WYANDOTTE	2317	WYANDOTTE	OK	74370	
60143	20110930	Comerica Bank	983	Dallas	TX	75201	
60330	20110930	PEOPLES BANK OF ALABAMA	22537	CULLMAN	AL	35055	
60433	20110930	Community Bank, National Association	20329	Mobile	AL	36608	
60545	20110930	THE HOME TRUST & SAVINGS BANK	963	OSAGE	IA	50461	
60554	20110930	First State Bank Minnesota	10162	LeRoy	MN	559510369	
60648	20110930	First National Bank	4324	Cloverdale	IN	46120	
61122	20110930	First United Bank & Trust	4857	Oakland	MD	21550	
61355	20110930	CorTrust Bank, N.A.	6063	Mitchell	SD	57301	
61476	20110930	Pilgrim Bank	26590	Cohasset	MA	2025	
61757	20110930	American Heritage National Bank	8843	Long Prairie	MN	563470509	
61832	20110930	The First National Bank of Mount Dora	3579	Mount Dora	Fl	32757	
61953	20110930	FIRST NATIONAL BANK OF COWETA	4071	COWETA	OK	74429	
62044	20110930	SEBREE DEPOSIT BANK	21342	SEBREE	KY	42455	
62110	20110930	Rockefeller Trust Company, N.A.	26622	New York	NY	100201903	
62147	20110930	Community First Bank	12512	Rosholt	WI	54473	
63050	20110930	The Dolores State Bank	17959	Dolores	CO	81323	
63069	20110930	City National Bank	17281	Los Angeles	CA	90071	
63078	20110930	Whidbey Island Bank	18412	Oak Harbor	WA	98277	
63201	20110930	CAYUGA LAKE NATIONAL BANK	6954	UNION SPRINGS	NY	13160	
63359	20110930	Mid City Bank, Inc.	19397	Omaha	NE	68131	
63573	20110930	Walpole Co-operative Bank	26487	Walpole	MA	02081	
63733	20110930	Citizens Bank	1711	Lafayette	TN	37083	
63742	20110930	HOMETOWN BANK	12781	FOND DU LAC	WI	54935	
63751	20110930	TOWANDA STATE BANK	15009	TOWANDA	KS	67144	
64150	20110930	Wyoming Bank & Trust	8718	Cheyenne	WY	82009	
64543	20110930	BLOOMFIELD STATE BANK	15714	BLOOMFIELD	IN	47424	
64552	20110930	Bank2	11521	Oklahoma City	OK	73108	
64619	20110930	Sterling National Bank	7220	New York	NY	100196108	
64730	20110930	Farmers & Merchants Bank	9069	Eatonton	GA	31024	
65205	20110930	Torrington Savings Bank	16636	Torrington	CT	06790	
65241	20110930	Clarke County State Bank	14980	Osceola	IA	50213	
65513	20110930	Delta National Bank and Trust Company	26633	New York	NY	10019	
65559	20110930	Pioneer Bank & Trust	15562	Spearfish	SD	57783	
65746	20110930	Citizens Union Bank of Shelbyville, Inc.	5840	Shelbyville	KY	400660189	
65858	20110930	Emprise Bank	4789	Wichita	KS	67201	
66015	20110930	BPD  BANK	26508	NEW YORK	NY	10004	
66154	20110930	DECATUR COUNTY BANK	6101	DECATURVILLE	TN	38329	
66172	20110930	CENTRAL CO-OPERATIVE BANK	26646	SOMERVILLE	MA	2144	
66275	20110930	FIRST SOUTHERN BANK	29332	FLORENCE	AL	36530	
66837	20110930	Central Bank of Georgia	5687	Ellaville	GA	318060045	
67142	20110930	Peoples Trust and Savings Bank	13113	Boonville	IN	476010307	
67151	20110930	Kirkpatrick Bank	20156	Edmond	OK	73013	
67209	20110930	Newburyport Five Cents Savings Bank	90251	Newburyport,	MA	01950	
67254	20110930	Young Americans Bank	27010	Denver	CO	80206	
67311	20110930	FirstMerit Bank, N.A.	13675	Akron	OH	44308	
68345	20110930	Peoples Bank Of Bullitt County, The	1884	Shepherdsville	KY	40165	
68448	20110930	Union National Bank & Trust Co	5325	Sparta	WI	54656	
68756	20110930	Liberty National Bank	11522	Lawton	OK	73501	
68831	20110930	Bank of Franklin	10594	Meadville	MS	39653	
68840	20110930	Union Bank & Trust Company	15177	Evansville	WI	53536	
68859	20110930	The First National Bank of Durango	3014	Durango	CO	81301	
68943	20110930	FIRST NATIONAL BANK MIDWEST	15484	OSKALOOSA	IA	525770420	
69333	20110930	The Citizens National Bank of Meridian	4993	Meridian	MS	393015853	
69678	20110930	Baker Boyer National Bank	2987	Walla Walla	WA	99362	
69847	20110930	THE FARMERS STATE BANK	5777	SWEETSER	IN	469870190	
70049	20110930	Community Bank	13147	Noblesville	IN	46060	
70058	20110930	The Farmers & Merchants Bank	1480	Dyer	TN	383300285	
70218	20110930	United Orient Bank	23373	New York	NY	10038	
70414	20110930	THE NORTHUMBERLAND NATIONAL BANK	7666	NORTHUMBERLAND	PA	17857	
70638	20110930	PEOPLES BANK	9366	MENDENHALL	MS	39114	
70955	20110930	Nebraska State Bank	13696	Bristow	NE	68719	
71318	20110930	DNB First, National Association	7464	Downingtown	PA	193350904	
71457	20110930	Bruning State Bank	18748	Bruning	NE	683220100	
71859	20110930	CBW BANK	13959	Weir	KS	66781	
72258	20110930	The Converse County Bank	12591	Douglas	WY	82633	
72351	20110930	Farmers State Bank	16941	Wathena	KS	660900219	
72454	20110930	FREEPORT STATE BANK	08210	FREEPORT	MN	56331	
72678	20110930	BELMONT SAVINGS BANK	28348	BELLAIRE	OH	439060654	
73031	20110930	Security Bank NA	23156	N. Lauderdale	FL	33068	
73116	20110930	Artisans' Bank	17123	Wilmington	DE	19808	
73152	20110930	THE FARMERS AND MERCHANTS NATIONAL BANK OF FAIRVIEW	4097	Fairview	OK	737370493	
73554	20110930	Pathway Bank	1992	Cairo	NE	68824	
73956	20110930	Security State Bank	12422	Wellington	KS	67152	
74056	20110930	SOUTH CENTRAL STATE BANK	16707	CAMPBELL	NE	689320186	
74140	20110930	Isabella Bank	1005	Mt. Pleasant	MI	48858	
74159	20110930	DAKOTA STATE BANK	1682	BLUNT	SD	57522	
74403	20110930	Merrimack County Savings Bank	17960	Concord	NH	3301	
74449	20110930	First National Bank in Tigerton	14400	Tigerton	WI	54486	
74458	20110930	United Bank of Kansas	17104	Lenexa	KS	66220	
75053	20110930	First Minnesota Bank	5151	Minnetonka	MN	55345	
75259	20110930	First Oklahoma Bank	12484	Tulsa	OK	741374248	
75446	20110930	South Ottumwa Savings Bank	9099	Ottumwa	IA	525010516	
75455	20110930	The Northern State Bank of Gonvick	10187	Gonvick	MN	566440060	
75558	20110930	FIRST NATIONAL BANK OF BAIRD, THE	3086	BAIRD	TX	79504	
75633	20110930	BMO Harris Bank NA	16571	Chicago	IL	60603	
