"IDRSSD"	RCFD0010	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD3123	RCFD3128	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA222	RCFDA223	RCFDA250	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC869	RCFDG591	RCFDG592	RCFDG593	RCFDG594	RCFDG595	RCFDG596	RCFDG597	RCFDG598	RCFDG599	RCFDG600	RCFDG601	RCFDG602	RCON0010	RCON1651	RCON1754	RCON1773	RCON2170	RCON3123	RCON3128	RCON3411	RCON3429	RCON3433	RCON3545	RCON3809	RCON3812	RCON3821	RCON3833	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA222	RCONA223	RCONA250	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	
1557																																																																																																																																																													4876	0	0	20150	81984	434	0	0	0	0	0	0	0	0	198	3469	22367	5099	837	51258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58471	0	0	55231	0	0	0	91	91	0	0	0	91	1900	2976	0	0	0	0	0	0	-178	1569	18470	289	0	0	0	0	0	0	0	0	0	4810	50421	0	0	0	0	0	2161	403	0	
1669																																																																																																																																																													30021	0	43695	71773	250455	2898	0	168	0	0	0	0	0	0	0	34234	86495	51668	13856	80621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1351	122437	0	0	92931	0	0	0	0	0	0	0	0	0	25687	4334	0	0	0	18193	0	25502	174	8499	63100	0	0	0	0	0	0	0	0	0	0	51668	41263	0	0	0	0	0	14933	161	48	
1829																																																																																																																																																													11278	0	0	102224	413861	3547	0	0	0	0	0	0	0	482	3971	9880	96946	103959	12853	196429	488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296044	0	0	278321	3540	26019	26019	0	0	0	0	0	0	5813	5465	0	0	0	0	0	0	2021	4057	87533	2247	6366	0	0	0	488	0	0	0	79	101032	177210	0	0	0	0	0	25097	8173	10	
1856																																																																																																																																																													56811	0	0	19429	121962	1043	0	0	0	0	0	0	0	0	1364	14436	69185	2869	797	36630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	52198	0	0	43919	0	0	0	0	0	0	0	0	0	14436	42375	0	0	0	0	0	0	-212	0	19641	0	0	0	0	0	0	0	0	0	5218	2869	35833	0	0	0	0	0	2315	98	0	
2040																																																																																																																																																													7622	0	0	59267	198160	3495	0	0	0	0	0	0	0	0	2890	19267	44859	27748	8508	109030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1824	131848	0	0	122445	0	0	0	351	351	0	0	0	351	966	6656	0	0	0	0	0	0	215	18301	34071	6164	516	0	0	0	0	0	0	0	855	21584	100006	0	0	0	0	0	10763	536	0	
2161																																																																																																																																																													15579	0	1	26449	127407	758	0	0	0	0	0	0	0	0	0	3104	43665	35939	7069	45130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71833	0	0	73337	0	0	0	0	0	0	0	0	0	1702	13877	0	0	1	0	0	0	327	1401	24058	663	0	0	0	0	0	0	0	0	0	35276	38061	0	0	0	0	0	7069	0	0	
2376																																																																																																																																																													9571	0	87667	317594	3213995	31036	0	0	0	0	0	3581	0	463	0	5836	450870	172541	170397	2613612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2790289	0	0	2615755	0	0	0	0	0	0	0	0	0	3713	5858	0	0	2123	85544	0	0	2172	0	315422	0	0	0	0	0	0	0	0	0	0	172541	2443215	0	0	0	0	0	214443	0	0	
2554																																																																																																																																																													4543	0	0	3439	14628	165	0	0	0	0	0	0	0	0	0	0	4543	3169	276	6755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	9200	0	0	6246	0	0	0	0	0	0	0	0	0	0	4543	0	0	0	0	0	0	34	0	0	2885	517	0	0	0	0	0	0	0	0	284	5962	0	0	0	0	0	565	289	0	
2732																																																																																																																																																													145049	0	0	94859	566352	3508	0	0	0	0	0	0	0	0	10267	133471	105139	55365	8385	274551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	329835	0	0	320281	0	0	0	1439	1439	0	0	0	1439	133297	11752	0	0	0	0	0	0	222	0	93387	0	1250	0	0	0	0	0	0	0	0	55365	264916	0	0	0	0	0	9671	1112	174	
2750																																																																																																																																																													3176	0	0	14115	65825	720	0	0	0	0	0	0	0	0	1774	3096	13645	4627	2731	45151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	50990	0	0	45975	0	0	0	0	0	0	0	0	0	1671	1505	0	0	0	0	0	0	26	1419	10923	1494	253	0	0	0	0	0	0	0	707	3101	42167	0	0	0	0	0	3279	0	6	
3177																																																																																																																																																													80307	0	800	109066	1020250	3760	0	0	0	0	0	0	0	932	0	150039	41437	614314	42667	214646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	530840	0	0	777777	0	0	0	284	284	0	0	0	284	79433	873	0	0	33	273	0	494	-1595	70435	34110	0	6116	0	0	0	0	0	0	0	0	612408	165369	0	0	0	0	0	56061	5167	138	
3252																																																																																																																																																													5566	0	656	69579	174647	2444	0	0	0	0	0	0	0	424	2716	26484	52986	7484	3533	89621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1120	104771	0	0	97219	0	0	0	361	361	0	0	0	361	2418	3148	0	0	0	0	656	0	516	23968	38336	6372	387	0	0	0	0	0	0	0	11123	395	85701	0	0	0	0	0	4071	0	98	
3458																																																																																																																																																													1157	0	2385	11295	37480	322	0	0	0	0	0	0	0	0	0	467	10693	3519	867	23189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27088	0	0	22098	0	0	0	0	0	0	0	0	0	0	0	1157	0	0	0	0	2385	-66	467	10693	0	201	0	0	0	0	0	0	0	0	3519	18579	0	0	0	0	0	867	0	0	
