"IDRSSD"	RCFD0010	RCFD1395	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDF264	RCFDG591	RCFDG592	RCFDG593	RCFDG594	RCFDG595	RCFDG596	RCFDG597	RCFDG598	RCFDG599	RCFDG600	RCFDG601	RCFDG602	RCON0010	RCON1395	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	
1557																																																																																																																																																																																																	2811	0	0	12844	3555	58304	0	531	0	5644	58395	0	0	0	0	6071	0	0	67	1914	0	0	485	485	306	23477	3727	1600	31238	0	0	0.0957	0.1567	0.1442	0.0000	0.0000	0.0000	5586	485	58	0	0	0	0	0	0	0	0	
1669																																																																																																																																																																																																	27511	0	0	63926	60620	245598	0	3134	0	45500	244373	151	0	0	0	44429	0	0	0	0	0	0	1424	1424	29349	100831	42856	11914	72293	0	0	0.176510	0.395956	0.383265	0.000000	0.000000	0.000000	43005	1424	1762	0	0	0	0	0	0	0	0	
1829																																																																																																																																																																																																	47831	0	0	0	77835	405774	0	3983	0	43029	410469	0	0	0	0	35473	0	0	59	1407	0	0	3074	3074	39073	81582	100666	6557	177019	0	0	0.0806	0.1448	0.1322	0.0000	0.0000	0.0000	32399	3074	1526	0	0	0	0	0	0	0	0	
1856																																																																																																																																																																																																	73659	0	0	2285	29265	150582	0	676	0	23182	152773	0	0	0	0	22983	0	0	0	356	0	0	676	676	44480	61614	3008	1100	41281	0	0	0.1461	0.4157	0.4035	0.0000	0.0000	0.0000	22307	676	777	0	0	0	0	0	0	0	0	
2040																																																																																																																																																																																																	8395	0	0	0	43307	195865	0	3310	0	20933	197010	0	0	0	0	22334	0	0	0	0	0	0	1867	1867	6590	24273	48625	9286	118969	250	0	0.1039	0.1516	0.1390	0.0000	0.0000	0.0000	20467	1867	466	0	0	0	0	0	0	0	0	
2161																																																																																																																																																																																																	15754	0	0	1	40449	126535	0	595	0	14392	129202	0	0	0	0	14157	0	0	0	183	0	0	595	595	1630	57945	28924	6904	37377	0	0	0.1050	0.2232	0.2138	0.0000	0.0000	0.0000	13562	595	830	0	0	0	0	0	0	0	0	
2376																																																																																																																																																																																																	8410	0	0	35934	697822	2584231	0	27540	0	429277	2518336	0	0	0	0	447291	0	0	604	0	6671	0	23687	23687	6916	755419	175829	99282	1655636	0	0	0.1687	0.2365	0.2240	0.0000	0.0000	0.0000	423604	23687	-998	0	0	0	0	0	0	0	0	
2554																																																																																																																																																																																																	3596	0	0	0	1670	11563	0	94	0	1141	11758	0	0	0	0	947	0	0	0	0	0	0	91	91	100	4080	1486	287	5708	0	0	0.0746	0.1304	0.1178	0.0000	0.0000	0.0000	856	91	-4	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																																	67205	0	0	0	85326	525891	0	6055	0	75946	518718	0	0	0	0	78094	0	0	0	278	0	0	4617	4617	51721	99672	60672	10667	316546	0	0	0.141955	0.212260	0.199711	0.000000	0.000000	0.000000	73477	4617	1357	0	0	0	0	0	0	0	0	
2750																																																																																																																																																																																																	2590	0	0	0	17009	60579	0	563	0	5566	58655	0	0	0	0	5973	0	0	0	142	0	0	567	567	5685	10005	4014	2403	41278	0	0	0.0922	0.1317	0.1192	0	0	0	5406	567	160	0	0	0	0	0	0	0	0	
3252																																																																																																																																																																																																	5244	0	0	653	66872	153216	0	1585	0	19990	153060	0	0	0	0	19983	0	0	385	835	0	0	1015	1015	23544	59661	3976	3734	66596	0	0	0.1239	0.2478	0.2352	0.0000	0.0000	0.0000	18968	1015	1022	0	0	0	0	0	0	0	0	
3458																																																																																																																																																																																																	4515	0	0	2595	8018	32601	0	358	0	3350	32343	0	0	0	0	3587	0	0	0	0	0	0	318	318	0	7487	2884	1185	22465	0	0	0.101073	0.141421	0.128883	0.000000	0.000000	0.000000	3269	318	81	0	0	0	0	0	0	0	0	
3720																																																																																																																																																																																																	24982	0	0	3937	43441	195881	0	1521	0	29094	191784	0	0	0	0	29299	0	0	0	2620	0	0	1378	1378	28398	54974	28408	0	83855	267	69	0.145638	0.265303	0.252825	0	0	0	27921	1378	1104	0	0	0	0	0	0	0	0	
3953																																																																																																																																																																																																	3926	0	0	0	4	54582	0	1401	0	1597	66856	0	0	0	0	2139	0	0	201	0	0	0	542	542	4287	8571	3102	7424	40024	1630	0	0.023887	0.050293	0.037549	0	0	0	1597	542	0	0	0	0	0	0	0	0	0	
4156																																																																																																																																																																																																	5065	0	0	0	38159	193866	0	2018	0	20490	194606	0	0	0	0	19394	0	0	0	8753	0	0	1629	1629	8306	47342	42743	13208	94725	267	0	0.092131	0.149288	0.136749	0	0	0	17765	1629	942	0	0	0	0	0	0	0	0	
4231																																																																																																																																																																																																	8527	0	0	0	34374	123241	0	900	0	14902	118331	0	0	0	0	15567	0	0	0	0	0	0	900	900	0	36830	18724	4610	68230	0	0	0.1239	0.1822	0.1717	0.0000	0.0000	0.0000	14667	900	235	0	0	0	0	0	0	0	0	
4437																																																																																																																																																																																																	16522	0	0	380	86287	261456	0	3154	0	27440	263866	0	0	0	0	27793	0	0	0	4765	69	0	1988	1988	14999	76411	65605	12357	104984	0	0	0.0978	0.1760	0.1634	0	0	0	25805	1988	1566	0	0	0	0	0	0	0	0	
4839																																																																																																																																																																																																	5819	0	0	0	52774	324309	0	4876	0	31972	321760	39	0	0	0	34688	0	0	884	8850	0	0	3331	3331	14320	48386	30096	16840	235768	0	0	0.0975	0.1309	0.1183	0.0000	0.0000	0.0000	31357	3331	615	0	0	0	0	0	0	0	0	
5005																																																																																																																																																																																																	18281	0	0	0	72066	336594	74	2453	0	19952	341352	195	0	0	0	15808	0	0	0	0	0	0	2453	2527	15891	70914	113597	22696	133101	0	1925	0.039504	0.077444	0.065064	0.000000	0.000000	0.000000	13281	2527	1511	0	0	0	0	0	0	0	0	
5069																																																																																																																																																																																																	71027	0	0	0	34842	459860	0	20468	0	132656	469898	629	0	0	0	136592	0	0	150	20	0	0	4933	4933	69401	2758	26514	31065	380622	0	0	0.280186	0.360490	0.347470	0.000000	0.000000	0.000000	131659	4933	812	0	0	0	0	0	0	0	0	
5135																																																																																																																																																																																																	38171	0	0	0	24844	350298	0	3717	0	39132	342436	0	0	0	0	41272	0	0	0	2972	0	0	3326	3326	37995	27999	55184	15775	231564	0	0	0.1112	0.1545	0.1420	0.0000	0.0000	0.0000	37946	3326	144	0	0	0	0	0	0	0	0	
5210																																																																																																																																																																																																	54995	0	0	10035	208702	1008825	16	15412	0	85540	989789	0	0	0	0	90709	0	0	6176	0	-2647	0	8484	8500	49689	172919	303116	61871	492118	80	0	0.0828	0.1345	0.1219	0.0000	0.0000	0.0000	82209	8500	5978	0	0	0	0	0	0	0	0	
