"IDRSSD"	FDIC Certificate Number	OCC Charter Number	OTS Docket Number	Primary ABA Routing Number	Financial Institution Name	Financial Institution Address	Financial Institution City	Financial Institution State	Financial Institution Zip Code	Financial Institution Filing Type	Last Date/Time Submission Updated On
11837	5709	0	17705	61107861	FARMERS BANK, THE	202 SOUTH MAIN STREET 	GREENSBORO	GA	30642	041	2015-01-23T10:12:36
12030	17011	16258	12295	61212866	FIRST NATIONAL BANK SOUTH	423 WEST 12TH STREET 	ALMA	GA	31510	041	2015-01-30T14:53:18
12142	12201	0	0	84202280	CLEVELAND STATE BANK, THE	110 COMMERCE AVENUE 	CLEVELAND	MS	38732	041	2015-01-14T15:01:10
12179	29899	0	4287	242272405	AMERICAN SAVINGS BANK	701 NORTH UNIVERSITY BOULEVARD 	MIDDLETOWN	OH	45042	041	2015-02-10T10:31:43
12311	6560	7745	0	44000024	HUNTINGTON NATIONAL BANK, THE	17 SOUTH HIGH STREET 	COLUMBUS	OH	43215	031	2016-09-29T16:18:46
12647	10012	0	0	75904377	PORTAGE COUNTY BANK	1155 COUNTY ROAD D 	ALMOND	WI	549099777	041	2015-01-26T11:56:25
12656	14944	0	0	101107624	EMERALD BANK	333 N. MAIN STREET 	BURDEN	KS	67019	041	2015-04-29T13:30:00
12937	20226	0	0	71001449	OAK BANK	1000 N RUSH STREET 	CHICAGO	IL	60611	041	2015-01-21T10:29:44
12946	1291	0	0	82901635	FARMERS BANK & TRUST COMPANY	200 EAST MAIN STREET 	MAGNOLIA	AR	71753	041	2015-01-28T16:10:09
12955	21704	0	0	104001138	BANK OF NEBRASKA	7223 SOUTH 84TH STREET 	LA VISTA	NE	68128	041	2015-03-26T09:49:13
13103	23622	0	8406	211370859	BRISTOL COUNTY SAVINGS BANK	35 BROADWAY 	TAUNTON	MA	02780	041	2015-01-30T16:38:08
13251	10185	0	0	91907374	ELYSIAN BANK	121 EAST MAIN STREET 	ELYSIAN	MN	56028	041	2015-01-29T11:25:05
13457	5425	0	0	104107786	BANK OF LEWELLEN	302 MAIN STREET 	LEWELLEN	NE	69147	041	2015-01-13T10:46:02
14052	9042	0	0	91501411	LINCOLN COMMUNITY BANK	1400 EAST MAIN STREET 	MERRILL	WI	54452	041	2015-06-25T17:18:32
14155	9378	0	0	101902146	F & C BANK	1006 EAGLE CREST DRIVE 	HOLDEN	MO	64040	041	2015-01-27T19:27:47
14650	16795	0	0	103112730	BANK OF LOCUST GROVE	124 EAST MAIN STREET 	LOCUST GROVE	OK	74352	041	2015-02-24T13:10:05
14753	18101	0	0	101104711	FARMERS STATE BANK OF BUCKLIN, KANSAS, THE	111 NORTH MAIN STREET 	BUCKLIN	KS	67834	041	2015-01-22T15:21:22
14865	16243	0	0	123203535	BANK OF EASTERN OREGON	279 NORTH MAIN STREET 	HEPPNER	OR	97836	041	2015-01-26T20:23:51
14977	30291	0	0	311372252	FIRST FEDERAL BANK LITTLEFIELD, TEXAS, SSB	301 X.I.T. DRIVE 	LITTLEFIELD	TX	79339	041	2015-01-30T17:42:58
16458	17105	0	0	101114646	DOUGLAS COUNTY BANK	9TH AND KENTUCKY 	LAWRENCE	KS	66044	041	2015-01-28T11:12:15
16551	10956	0	0	91907471	NORTHVIEW BANK	510 MAIN STREET 	SANDSTONE	MN	55072	041	2015-01-26T11:12:17
16748	13104	0	0	81307382	ELBERFELD STATE BANK, THE	55 WEST MAIN STREET 	ELBERFELD	IN	47613	041	2015-01-26T15:46:17
16944	11404	0	0	72405620	WEST MICHIGAN SAVINGS BANK, THE	232 WEST MONROE 	BANGOR	MI	49013	041	2015-01-29T08:46:49
16953	10186	0	0	91204682	FIRST STATE BANK OF FERTILE	114 MILL ST. N. 	FERTILE	MN	56540	041	2015-01-29T13:58:00
17110	26189	0	0	36002085	HAVERFORD TRUST COMPANY, THE	100 MATSONFORD ROAD 3 RADNOR CORPORATE CENTER SUITE 450	RADNOR	PA	19087	041	2015-01-27T09:29:41
17147	4365	2234	11365	74900657	FIRST MERCHANTS BANK, NATIONAL ASSOCIATION	200 EAST JACKSON STREET 	MUNCIE	IN	47305	041	2015-01-30T08:42:58
17259	26260	20838	0	103102494	FIRST NATIONAL BANK IN MARLOW, THE	301 WEST MAIN STREET 	MARLOW	OK	73055	041	2015-01-29T16:12:52
17464	22407	0	0	123206024	BANK OF THE CASCADES	1100 NORTHWEST WALL STREET 	BEND	OR	97701	041	2015-02-09T17:03:47
17950	2224	10844	0	92903542	BANK OF BRIDGER, NATIONAL ASSOCIATION	101 S. MAIN STREET 	BRIDGER	MT	59014	041	2015-01-28T18:01:17
17978	29904	704307	4307	264271280	ELIZABETHTON FEDERAL SAVINGS BANK	112-114 NORTH SYCAMORE STREET 	ELIZABETHTON	TN	376433326	041	2015-01-25T11:38:53
18050	3091	4093	0	114904953	FIRST NATIONAL BANK OF BASTROP, THE	489 HIGHWAY 71 WEST 	BASTROP	TX	786023217	041	2015-01-26T17:10:07
18135	19536	24430	0	71001232	SOUTH CENTRAL BANK, NATIONAL ASSOCIATION	525 WEST ROOSEVELT ROAD 	CHICAGO	IL	60607	041	2015-01-28T15:35:31
18377	34440	0	9245	231371731	BALLY SAVINGS BANK	323 MAIN STREET 	BALLY	PA	19503	041	2015-01-30T18:27:22
18827	7900	5073	0	43311497	NEXTIER BANK, NA	222 MARKET STREET 	KITTANNING	PA	16201	041	2015-05-15T11:56:43
18836	9998	0	12053	52203703	CAPON VALLEY BANK	2 W MAIN ST 	WARDENSVILLE	WV	26851	041	2015-01-26T10:53:41
18854	4147	0	0	103103778	BANK7	1039 NW 63RD STREET 	OKLAHOMA CITY	OK	73116	041	2015-01-21T10:41:38
19356	9881	0	0	103110907	SECURITY BANK AND TRUST COMPANY	2 SOUTH MAIN STREET 	MIAMI	OK	74354	041	2015-01-27T17:03:25
19730	16606	0	0	71909363	STANDARD BANK AND TRUST COMPANY	7800 WEST 95TH STREET 	HICKORY HILLS	IL	60457	041	2015-02-03T13:15:41
19936	15477	0	12677	61201042	CITIZENS BANK OF AMERICUS	119 NORTH LEE STREET 	AMERICUS	GA	31709	041	2015-01-28T12:56:19
19972	34711	0	9008	243374108	FARMERS BUILDING AND SAVINGS BANK	290 WEST PARK 	ROCHESTER	PA	15074	041	2015-01-29T14:17:16
20053	10015	0	0	91806242	SECURITY BANK	112 EAST MAIN ST. 	NEW AUBURN	WI	54757	041	2015-01-29T21:25:16
20512	7704	3877	0	31309343	FIRST NATIONAL BANK OF PORT ALLEGANY	64 N. MAIN ST 	PORT ALLEGANY	PA	16743	041	2015-04-29T14:49:16
20633	6803	0	0	51501723	MCNB BANK AND TRUST CO.	75 WYOMING ST 	WELCH	WV	24801	041	2015-02-11T16:42:35
20857	10998	0	0	91902793	GRANITE FALLS BANK	702 PRENTICE ST. 	GRANITE FALLS	MN	56241	041	2015-03-05T11:22:50
21256	16583	0	0	101114565	STATE BANK OF BURRTON	200 NORTH BURRTON 	BURRTON	KS	67020	041	2015-07-27T10:45:31
21359	22263	0	0	91205128	AMERICAN STATE BANK OF GRYGLA	102 SOUTH MAIN AVENUE 	GRYGLA	MN	56727	041	2015-01-27T15:09:41
21630	20041	0	12528	65201789	TECHE BANK AND TRUST COMPANY	606 SOUTH MAIN STREET 	SAINT MARTINVILLE	LA	70582	041	2015-01-27T11:19:03
21658	12511	0	0	91803355	ALLIANCE BANK	245 S. EAU CLAIRE ST. 	MONDOVI	WI	54755	041	2015-01-30T16:17:02
22048	1753	0	0	82901567	UNION BANK & TRUST COMPANY	102 WEST MCCLOY 	MONTICELLO	AR	71655	041	2015-01-21T12:54:14
22543	8162	0	11909	72406506	STATE SAVINGS BANK	703 MAIN STREET 	FRANKFORT	MI	49635	041	2015-01-31T14:44:25
22552	10576	0	0	91204462	FIRST SOUTHEAST BANK	3 MAIN AVENUE NORTH 	HARMONY	MN	55939	041	2015-01-21T14:26:42
22730	2452	0	0	51502159	WEST UNION BANK	105 E MAIN STREET 	WEST UNION	WV	26456	041	2015-01-27T09:00:43
22936	16673	0	10640	61212688	FARMERS & MERCHANTS BANK	201 NORTH MAIN STREET 	STATESBORO	GA	30458	041	2015-01-27T10:12:37
23045	24471	0	0	72413421	WEST MICHIGAN BANK & TRUST	501 MAIN STREET 	FRANKFORT	MI	49635	041	2015-01-28T14:28:39
23456	5162	6906	0	91204763	FIRST NATIONAL BANK OF HENNING, THE	106 MN HWY 78 NORTH 	OTTERTAIL	MN	56571	041	2015-01-13T10:32:38
23504	6976	9669	9545	21406667	BRIDGEHAMPTON NATIONAL BANK, THE	2200 MONTAUK HIGHWAY 	BRIDGEHAMPTON	NY	11932	041	2015-02-19T09:06:17
23643	90	0	0	82905343	COMMERCIAL BANK & TRUST COMPANY	212 WEST GAINES STREET 	MONTICELLO	AR	71655	041	2015-02-17T14:51:20
23755	5357	11412	0	91809980	FIRST NATIONAL COMMUNITY BANK	109 EAST SECOND STREET 	NEW RICHMOND	WI	54017	041	2015-01-23T10:35:36
24006	15995	0	17455	221970980	PUTNAM COUNTY SAVINGS BANK	2477 ROUTE 6 	BREWSTER	NY	10509	041	2015-01-28T16:37:25
24378	32307	0	8123	241271054	GALION BUILDING AND LOAN BANK, THE	135 S MARKET STREET 	GALION	OH	44833	041	2015-01-24T11:05:58
24453	24334	0	0	102305098	ROCKY MOUNTAIN BANK	890 WEST BROADWAY 	JACKSON	WY	83001	041	2015-01-27T13:05:01
24659	10178	0	0	91915722	PRODUCE STATE BANK	109 PARK AVENUE WEST 	HOLLANDALE	MN	56045	041	2015-01-27T14:47:39
24668	3402	10646	0	111912498	BANK TEXAS, NATIONAL ASSOCIATION	412 E GOODE ST 	QUITMAN	TX	757831544	041	2015-01-30T11:09:52
24855	4155	11306	0	103111087	FIRST NATIONAL BANK OF NASH, THE	107 SOUTH MAIN STREET 	NASH	OK	73761	041	2015-01-14T10:54:02
24949	12788	14397	0	75901590	BARABOO NATIONAL BANK, THE	101 THIRD AVENUE 	BARABOO	WI	53913	041	2015-01-29T12:55:40
25357	20093	0	0	103001456	ALL AMERICA BANK	200 S. ROCKWELL AVENUE 	OKLAHOMA CITY	OK	73128	041	2015-01-26T13:38:11
25647	22536	0	0	71924681	FIRSTSECURE BANK AND TRUST CO.	10360 SOUTH ROBERTS ROAD 	PALOS HILLS	IL	60465	041	2015-10-27T14:37:23
26176	30306	705141	5141	322070145	BROADWAY FEDERAL BANK, F.S.B.	5055 WILSHIRE BOULEVARD, SUITE 100 	LOS ANGELES	CA	90036	041	2015-01-29T18:42:28
26242	18979	20412	0	82901033	INTEGRITY FIRST BANK, NATIONAL ASSOCIATION	502 HICKORY STREET 	MOUNTAIN HOME	AR	72653	041	2015-01-28T16:39:25
26457	16423	0	0	101918279	LA MONTE COMMUNITY BANK	201 EAST FRONT STREET 	LA MONTE	MO	65337	041	2015-01-15T11:58:14
26765	3405	0	0	114912589	VANTAGE BANK TEXAS	45 NE LOOP 410, SUITE 500 	SAN ANTONIO	TX	78216	041	2015-07-23T12:37:43
27070	29294	703235	3235	291571270	TIME FEDERAL SAVINGS BANK	675 EAST BROADWAY PO BOX 239	MEDFORD	WI	54451	041	2015-01-23T16:47:54
27548	14078	0	0	275971854	BLACKHAWK BANK	400 BROAD STREET 	BELOIT	WI	53511	041	2015-01-30T16:10:58
27614	10663	0	0	41208719	ANDOVER BANK, THE	19 PUBLIC SQUARE 	ANDOVER	OH	440030519	041	2015-05-15T11:33:33
27847	1527	0	0	82904056	DIAMOND BANK	319 EAST MAIN STREET 	MURFREESBORO	AR	71958	041	2015-01-22T15:39:34
28013	28710	718063	18063	226071457	NORTHFIELD BANK	1731 VICTORY BLVD 	STATEN ISLAND	NY	10314	041	2015-07-14T13:57:03
28152	11415	0	0	91908179	HARVEST BANK	75 NORTH MAIN STREET 	KIMBALL	MN	55353	041	2015-01-20T21:51:36
28255	3095	4238	0	114902777	FIRST NATIONAL BANK OF BEEVILLE, THE	1400 E HOUSTON ST 	BEEVILLE	TX	78102	041	2015-04-27T17:23:21
28349	91	0	0	82902579	ALLIED BANK	311 MAIN STREET 	MULBERRY	AR	72947	041	2015-01-26T14:57:37
28406	90160	0	14800	211073981	BLUE HILLS BANK	1196 RIVER STREET 	HYDE PARK	MA	02136	041	2015-01-30T12:11:18
28675	29293	703234	3234	291871226	CUMBERLAND FEDERAL BANK, FEDERAL SAVINGS BANK	1390 SECOND AVE. 	CUMBERLAND	WI	54829	041	2015-01-29T14:45:44
28732	1475	0	0	64102384	PEOPLES BANK & TRUST COMPANY	1203 HILLSBORO BOULEVARD 	MANCHESTER	TN	37355	041	2015-01-28T15:47:45
29476	31711	0	7368	284170109	RIVERBANK SAVINGS AND LOAN ASSOCIATION	520 SOUTHWEST SECOND STREET 	CORNING	AR	72422	041	2015-03-17T13:47:57
29636	12204	0	10889	65302154	CITIZENS BANK OF PHILADELPHIA, THE	521 MAIN STREET 	PHILADELPHIA	MS	39350	041	2015-01-29T16:07:48
29878	30303	705138	5138	221472792	MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION	56-18 69TH ST 	MASPETH	NY	11378	041	2015-01-29T15:31:56
29953	10650	0	0	104910274	HOME STATE BANK	218 MAIN STREET 	LOUISVILLE	NE	68037	041	2015-01-29T10:51:39
30052	26658	0	0	111316829	AMISTAD BANK	1301 VETERANS BLVD 	DEL RIO	TX	788403621	041	2015-01-26T17:12:01
30418	27041	0	2500	231275882	COLLEGE SAVINGS BANK	5 VAUGN DRIVE 	PRINCETON	NJ	085406313	041	2015-02-25T12:17:35
30502	14240	0	0	11700425	NORTHWAY BANK	9 MAIN STREET 	BERLIN	NH	03570	041	2015-02-13T12:01:43
30650	8193	0	0	91008299	LAKE COMMUNITY BANK	1964 W. WAYZATA BLVD. 	LONG LAKE	MN	55356	041	2015-01-28T15:38:57
30810	5649	0	0	31100649	DISCOVER BANK	502 EAST MARKET STREET 	GREENWOOD	DE	19950	041	2015-01-29T13:32:22
30874	28888	0	0	236073830	FOX CHASE BANK	4390 DAVISVILLE ROAD 	HATBORO	PA	190402544	041	2015-01-30T12:38:02
31134	2160	7899	11878	61202245	FIRST NATIONAL BANK OF WAYNESBORO, THE	626 LIBERTY ST 	WAYNESBORO	GA	30830	041	2015-01-29T10:03:15
31255	17612	0	0	113001077	CENTRAL BANK	11201 CLAY ROAD 	HOUSTON	TX	770415578	041	2015-07-13T13:19:05
31657	11904	0	0	111909443	FIRST STATE BANK OF BEN WHEELER, TEXAS	14269 STATE HWY 64 	BEN WHEELER	TX	75754	041	2015-01-26T10:53:11
31826	6863	9924	14630	51403818	POWELL VALLEY NATIONAL BANK	33785 MAIN STREET 	JONESVILLE	VA	24263	041	2015-01-29T15:20:32
31835	8243	0	9803	65302675	BANK OF ANGUILLA	130 HOLLAND STREET 	ANGUILLA	MS	38721	041	2015-01-20T11:11:36
32234	3639	1926	0	71103952	FIRST NATIONAL BANK AND TRUST COMPANY	2 KELLI COURT 	CLINTON	IL	61727	041	2015-01-29T11:59:56
32766	21693	16357	0	111906048	LAKESIDE NATIONAL BANK	2805 RIDGE ROAD 	ROCKWALL	TX	75032	041	2015-01-15T13:54:42
32971	28894	702578	2578	274970607	SECURITY FEDERAL SAVINGS BANK	314 FOURTH ST 	LOGANSPORT	IN	469470000	041	2015-08-27T10:43:51
33147	1027	0	0	84101051	FARMERS BANK AND TRUST COMPANY	400 WEST MAIN STREET 	BLYTHEVILLE	AR	72315	041	2015-03-23T13:33:53
33259	21714	0	0	96005093	PREMIER BANK	2866 WHITE BEAR AVE. 	MAPLEWOOD	MN	55109	041	2015-04-09T17:11:40
33268	1213	0	0	111307485	ROSCOE STATE BANK, THE	117 CYPRESS STREET 	ROSCOE	TX	79545	041	2015-01-22T14:20:22
33370	31723	707384	7384	242170374	HOME SAVINGS BANK, FSB	202 ELM STREET 	LUDLOW	KY	41016	041	2015-01-09T15:12:38
33839	10075	0	0	71112354	PEOPLES STATE BANK OF COLFAX	101 WEST MAIN STREET 	COLFAX	IL	61728	041	2015-01-07T16:44:40
33857	15545	0	0	104913381	FRONTIER BANK	301 SOUTH MAIN 	MADISON	NE	68748	041	2015-04-08T17:33:36
34153	20843	0	0	96000603	AMERICAN BANK OF SAINT PAUL	2310 7TH STREET WEST 	SAINT PAUL	MN	55116	041	2015-02-05T16:33:25
34425	11200	0	16871	51403850	BANK OF LANCASTER	100 S MAIN STREET 	KILMARNOCK	VA	22482	041	2015-01-30T17:23:42
34434	22081	0	15636	65302468	MAGNOLIA STATE BANK	15 EAST 6TH AVENUE 	BAY SPRINGS	MS	39422	041	2015-04-28T16:34:12
34452	5358	10489	0	91508317	FIRST NATIONAL BANK OF PARK FALLS, THE	110 NORTH 2ND AVENUE 	PARK FALLS	WI	54552	041	2015-01-14T09:43:54
34537	131	14838	15273	67005158	SEACOAST NATIONAL BANK	815 COLORADO AVENUE 	STUART	FL	34994	041	2015-02-24T17:12:33
34555	14695	0	0	81507014	MACON-ATLANTA STATE BANK	1513 NORTH MISSOURI STREET 	MACON	MO	63552	041	2015-02-13T10:50:17
34742	13083	0	0	82901952	FIRST WESTERN BANK	80 WEST MAIN STREET 	BOONEVILLE	AR	72927	041	2015-01-30T12:00:58
34836	11297	0	0	61104204	WOODBURY BANKING COMPANY, THE	33 JONES MILL RD 	WOODBURY	GA	30293	041	2015-01-14T13:50:32
35057	1946	0	0	81506390	ALLIANT BANK	101 EAST BROADWAY 	MADISON	MO	65263	041	2015-02-02T07:16:43
35301	14	0	0	11000028	STATE STREET BANK AND TRUST COMPANY	ONE LINCOLN STREET 	BOSTON	MA	02111	031	2018-04-06T06:55:09
35570	28892	0	2573	221272031	INVESTORS BANK	101 JOHN F KENNEDY PARKWAY 	SHORT HILLS	NJ	07078	041	2016-12-28T14:45:43
35646	11235	0	0	75904597	BONDUEL STATE BANK	130 NORTH CECIL STREET 	BONDUEL	WI	54107	041	2015-01-12T13:53:32
35842	10868	0	0	81226298	PREMIER BANK OF JACKSONVILLE	1604 WEST MORTON AVENUE 	JACKSONVILLE	IL	62650	041	2015-02-17T18:51:32
35879	30313	0	5151	275971029	EAST WISCONSIN SAVINGS BANK, S.A.	109 WEST 2ND STREET 	KAUKAUNA	WI	541300000	041	2015-01-29T15:19:58
36456	15907	0	0	104113408	FARMERS STATE BANK	122 S. COMMERCIAL ST 	MAYWOOD	NE	69038	041	2015-02-24T15:38:03
36933	19163	0	14828	61101113	FIRST STATE BANK	300 BROAD STREET 	WRENS	GA	30833	041	2015-01-27T07:36:51
37051	13030	0	0	91809524	PIGEON FALLS STATE BANK	40214 SOUTH EKERN AVENUE 	PIGEON FALLS	WI	54760	041	2015-01-28T09:20:43
37341	21085	0	0	75907743	BANK OF ONTARIO	315 MAIN STREET 	ONTARIO	WI	54651	041	2015-01-30T10:35:10
37435	172	0	10091	61107515	UNITED BANK	685 GRIFFIN STREET 	ZEBULON	GA	30295	041	2015-01-29T07:56:39
37640	17393	0	0	83904563	GERMAN AMERICAN BANCORP	711 MAIN STREET 	JASPER	IN	47546	041	2015-02-24T11:00:33
37659	12758	0	0	103111977	FARMERS STATE BANK, ALLEN, OKLAHOMA	201 EAST BROADWAY 	ALLEN	OK	74825	041	2015-01-23T14:46:37
37743	11607	0	0	75910400	CALUMET COUNTY BANK	103 NORTH MAIN STREET 	BRILLION	WI	541101126	041	2015-01-29T15:18:18
37949	11711	0	0	71119289	BANK OF RANTOUL	201 EAST CHAMPAIGN AVENUE 	RANTOUL	IL	61866	041	2015-02-18T12:06:21
