"IDRSSD"	RCFD0010	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDF264	RCFDG591	RCFDG592	RCFDG593	RCFDG594	RCFDG595	RCFDG596	RCFDG597	RCFDG598	RCFDG599	RCFDG600	RCFDG601	RCFDG602	RCFDL136	RCFDL137	RCFDL138	RCON0010	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	RCON8774	RCON8775	RCON8776	
1557																																																																																																																																																																																																4370	0	0	29170	78477	0	176	0	9183	0	0	0	0	9904	0	0	91	228	0	0	176	176	4561	32288	3348	1672	39001	0	0	0.1216	0.2094	0.2057	0.0000	0.0000	0.0000	9728	176	-988	0	0	0	0	0	0	0	0	0	0	0	
1669																																																																																																																																																																																																23836	0	50006	72174	246241	0	2842	0	43952	40	0	0	0	44845	0	0	0	0	0	0	1502	1502	26297	96243	49740	13327	76053	0	0	0.170191	0.377356	0.364717	0.000000	0.000000	0.000000	43343	1502	272	0	0	0	0	0	0	0	0	0	0	0	
1829																																																																																																																																																																																																7152	0	0	92615	392082	141	3321	0	43006	0	0	0	0	38710	0	0	184	1401	0	0	3321	3462	5161	91285	98641	13048	192822	52	0	0.0917	0.1417	0.1290	0.0000	0.0000	0.0000	35248	3462	-464	0	0	0	0	0	0	0	0	0	0	0	
1856																																																																																																																																																																																																31253	0	0	21530	124374	0	1066	0	13373	0	0	0	0	16447	0	0	0	0	0	0	942	942	13849	47297	1101	957	65326	0	0	0.1249	0.2187	0.2062	0.0000	0.0000	0.0000	15505	942	-2230	0	0	0	0	0	0	0	0	0	0	0	
2040																																																																																																																																																																																																9728	0	0	58666	203846	0	4256	0	19369	0	0	0	0	21588	0	0	0	7297	0	0	1663	1663	18239	64849	25593	7737	103238	0	1031	0.0982	0.1655	0.1528	0.0000	0.0000	0.0000	19925	1663	-1587	0	0	0	0	0	0	0	0	0	0	0	
2161																																																																																																																																																																																																15548	0	1	27036	122893	0	762	0	14042	0	0	0	0	15292	0	0	0	0	0	0	762	762	3219	43971	36588	6970	40365	0	0	0.1174	0.2267	0.2154	0.0000	0.0000	0.0000	14530	762	-488	0	0	0	0	0	0	0	0	0	0	0	
2376																																																																																																																																																																																																9020	0	30628	339338	2911045	0	30390	0	423113	0	0	0	0	451342	0	0	463	0	1540	0	30390	30390	9665	368269	141297	192231	2421153	1742	0	0.1447	0.1758	0.1639	0.0000	0.0000	0.0000	420952	30390	621	3559	0	50000	0	0	0	0	0	0	0	0	
2554																																																																																																																																																																																																4949	0	0	3157	14120	0	145	0	1274	0	0	0	0	1051	0	0	0	0	0	0	109	109	0	4949	2585	254	6399	0	0	0.0773	0.1216	0.1090	0.0000	0.0000	0.0000	942	109	43	0	0	0	0	0	0	0	0	0	0	0	
2732																																																																																																																																																																																																122891	0	0	85702	527426	0	5195	0	80327	0	0	0	0	82707	0	0	0	0	0	0	3971	3971	110258	96468	54626	13381	269366	0	0	0.1470	0.2613	0.2488	0	0	0	78736	3971	479	0	0	0	0	0	0	0	0	0	0	0	
2750																																																																																																																																																																																																2547	0	0	13473	58741	0	907	0	5290	0	0	0	0	6364	0	0	0	224	0	0	567	567	3178	13438	1990	2510	41549	0	0	0.0997	0.1414	0.1288	0	0	0	5797	567	-592	0	0	0	0	0	0	0	0	0	0	0	
3177																																																																																																																																																																																																87619	0	2778	121859	1013252	10	3781	0	103232	0	0	0	0	104187	0	0	1004	0	-10	0	3781	3791	154731	59194	575207	42364	226655	0	0	0.099600	0.197689	0.190495	0	0	0	100396	3791	-2414	0	0	0	0	0	0	0	0	0	0	0	
3252																																																																																																																																																																																																4290	0	692	69120	163605	0	1890	0	20391	0	0	0	0	21696	0	0	386	2685	0	0	1206	1206	24876	53595	6559	3764	80564	0	0	0.1238	0.2265	0.2139	0.0000	0.0000	0.0000	20490	1206	-99	0	0	0	0	0	0	0	0	0	0	0	
3458																																																																																																																																																																																																6715	0	2898	12714	37355	0	390	0	3317	0	0	0	0	3834	0	0	0	0	0	0	327	327	203	12791	2905	834	22132	0	0	0.092047	0.147009	0.134471	0.000000	0.000000	0.000000	3507	327	-190	0	0	0	0	0	0	0	0	0	0	0	
3720																																																																																																																																																																																																32672	0	304	41538	217863	0	1607	0	29750	0	0	0	0	31838	0	0	0	2448	0	0	1607	1607	34183	46957	31624	8782	106445	0	0	0.143876	0.239130	0.227060	0.000000	0.000000	0.000000	30231	1607	-481	0	0	0	0	0	0	0	0	0	0	0	
3971																																																																																																																																																																																																58640	0	0	86924	672943	0	13215	0	105967	0	0	0	0	94784	0	0	0	27178	0	0	6617	6617	44721	90167	99609	34389	435558	2510	7489	0.134575	0.182686	0.169932	0	0	0	88167	6617	-656	0	0	0	0	0	0	0	0	0	0	0	
4156																																																																																																																																																																																																9079	0	0	49829	216391	0	1794	0	21227	0	0	0	0	21338	0	0	0	11767	0	0	1794	1794	6266	50315	50416	12883	109510	0	0	0.093829	0.140679	0.128851	0	0	0	19544	1794	-100	0	0	0	0	0	0	0	0	0	0	0	
4231																																																																																																																																																																																																11725	0	0	43910	114917	0	846	0	12746	0	0	0	0	15787	0	0	0	0	0	0	821	821	9985	44774	15743	4334	48624	0	0	0.1332	0.2405	0.2280	0.0000	0.0000	0.0000	14966	821	-2220	0	0	0	0	0	0	0	0	0	0	0	
4437																																																																																																																																																																																																13831	0	0	87759	238979	0	2151	0	25977	0	0	0	0	26680	0	0	0	2178	50	0	1827	1827	12433	82808	49222	12071	97523	0	1609	0.1017	0.1830	0.1704	0	0	0	24853	1827	-535	0	0	0	0	0	0	0	0	0	0	0	
4839																																																																																																																																																																																																5809	0	0	67388	323437	0	4969	0	33029	40	0	0	0	38036	0	0	260	3578	0	0	3151	3151	11015	62165	40984	11551	216098	0	0	0.106359	0.151992	0.139401	0	0	0	34885	3151	-1856	0	0	0	0	0	0	0	0	0	0	0	
5069																																																																																																																																																																																																37674	0	0	34130	404991	90	13180	0	151547	836	0	0	0	154619	0	0	256	5170	0	0	4601	4691	36921	1937	25773	43581	351953	0	0	0.380113	0.430300	0.417246	0.000000	0.000000	0.000000	149928	4691	1619	0	0	0	0	0	0	0	0	0	0	0	
5135																																																																																																																																																																																																75770	0	0	25742	377575	0	4015	0	46306	0	0	0	0	49217	0	0	0	9563	0	0	3342	3342	74694	25560	53071	16668	228209	0	0	0.1173	0.1846	0.1720	0.0000	0.0000	0.0000	45875	3342	-611	0	0	0	0	0	0	0	0	0	0	0	
5210																																																																																																																																																																																																18116	0	94373	129111	1032567	0	16091	0	90294	0	0	0	0	99121	0	0	4176	0	-2463	0	8782	8782	9452	221902	315050	71351	498596	496	0	0.0876	0.1426	0.1299	0.0000	0.0000	0.0000	90339	8782	2407	0	0	0	0	0	0	0	0	0	0	0	
