"IDRSSD"	RCFD0010	RCFD1395	RCFD1651	RCFD1754	RCFD1773	RCFD2170	RCFD2221	RCFD3123	RCFD3128	RCFD3210	RCFD3368	RCFD3411	RCFD3429	RCFD3433	RCFD3545	RCFD3792	RCFD3809	RCFD3812	RCFD3821	RCFD3833	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5320	RCFD5327	RCFD5334	RCFD5339	RCFD5340	RCFD5369	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFD8764	RCFD8766	RCFD8767	RCFD8769	RCFD8770	RCFD8771	RCFD8772	RCFD8773	RCFD8774	RCFD8775	RCFD8776	RCFD8777	RCFD8778	RCFD8779	RCFDA000	RCFDA001	RCFDA002	RCFDA167	RCFDA221	RCFDA222	RCFDA223	RCFDA224	RCFDA250	RCFDB503	RCFDB504	RCFDB505	RCFDB520	RCFDB528	RCFDB541	RCFDB542	RCFDB543	RCFDB546	RCFDB547	RCFDB548	RCFDB581	RCFDB582	RCFDB583	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDB596	RCFDB600	RCFDB601	RCFDB602	RCFDB603	RCFDB604	RCFDB605	RCFDB606	RCFDB607	RCFDB608	RCFDB609	RCFDB610	RCFDB611	RCFDB612	RCFDB617	RCFDB618	RCFDB619	RCFDB620	RCFDB621	RCFDB622	RCFDB623	RCFDB624	RCFDB625	RCFDB626	RCFDB627	RCFDB628	RCFDB629	RCFDB630	RCFDB631	RCFDB639	RCFDB640	RCFDB641	RCFDB642	RCFDB643	RCFDB644	RCFDB650	RCFDB651	RCFDB652	RCFDB653	RCFDB654	RCFDB655	RCFDB656	RCFDB657	RCFDB658	RCFDB659	RCFDB660	RCFDB661	RCFDB662	RCFDB663	RCFDB664	RCFDB665	RCFDB666	RCFDB667	RCFDB668	RCFDB669	RCFDB670	RCFDB671	RCFDB672	RCFDB673	RCFDB675	RCFDB676	RCFDB677	RCFDB678	RCFDB679	RCFDB680	RCFDB681	RCFDB682	RCFDB683	RCFDB684	RCFDB685	RCFDB686	RCFDB687	RCFDB688	RCFDB689	RCFDB690	RCFDB691	RCFDB693	RCFDB694	RCFDB695	RCFDB696	RCFDB697	RCFDB698	RCFDB699	RCFDB700	RCFDB701	RCFDB702	RCFDB703	RCFDB704	RCFDC063	RCFDC064	RCFDC225	RCFDC227	RCFDC228	RCFDC869	RCFDF264	RCFDG591	RCFDG592	RCFDG593	RCFDG594	RCFDG595	RCFDG596	RCFDG597	RCFDG598	RCFDG599	RCFDG600	RCFDG601	RCFDG602	RCON0010	RCON1395	RCON1651	RCON1754	RCON1773	RCON2170	RCON2221	RCON3123	RCON3128	RCON3210	RCON3368	RCON3411	RCON3429	RCON3433	RCON3545	RCON3792	RCON3809	RCON3812	RCON3821	RCON3833	RCON4336	RCON5306	RCON5310	RCON5311	RCON5320	RCON5327	RCON5334	RCON5339	RCON5340	RCON5369	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCON8764	RCON8766	RCON8767	RCON8769	RCON8770	RCON8771	RCON8772	RCON8773	
63078																																																																																																																																																																																																	105910	0	0	0	295955	1668639	0	18902	0	189190	1670470	0	0	0	0	191816	0	0	465	101759	0	0	12636	12636	135001	663735	101455	31267	775568	22421	0	0.107709	0.190942	0.178363	0.000000	0.000000	0.000000	179180	12636	3080	0	0	0	0	0	0	0	0	
63201																																																																																																																																																																																																	2153	0	0	26100	14295	119148	0	370	0	11249	117360	0	0	0	0	12230	0	0	304	0	0	0	425	425	2742	32289	58336	2394	25996	0	0	0.1006	0.1980	0.1911	0.0000	0.0000	0.0000	11805	425	-556	0	0	0	0	0	0	0	0	
63573																																																																																																																																																																																																	5005	0	0	0	46244	356396	0	4220	0	71320	352081	0	0	0	0	75005	0	0	0	0	0	0	3640	3640	2826	48334	55643	17405	253724	0	0	0.202695	0.258075	0.245550	0.000000	0.000000	0.000000	71365	3640	-45	0	0	0	0	0	0	0	0	
63733																																																																																																																																																																																																	11254	0	0	0	189684	441812	0	3219	0	43971	434907	0	0	0	0	41592	0	0	0	13490	0	0	3042	3042	57187	120425	92524	16991	167453	422	0	0.0891	0.1711	0.1585	0.0000	0.0000	0.0000	38550	3042	3257	0	0	0	0	0	0	0	0	
63742																																																																																																																																																																																																	6309	0	0	0	53	196335	0	3822	0	26751	200008	0	0	0	0	28653	0	0	1124	22087	0	0	1904	1904	2874	65840	12393	8752	119047	0	0	0.1337	0.1905	0.1778	0.0000	0.0000	0.0000	26749	1904	2	0	0	0	0	0	0	0	0	
63751																																																																																																																																																																																																	506	0	0	0	1219	9188	0	95	0	778	9400	0	0	0	0	861	0	0	0	198	0	0	64	64	138	2109	4991	488	2069	0	0	0.0848	0.1703	0.1577	0.0000	0.0000	0.0000	797	64	-19	0	0	0	0	0	0	0	0	
64150																																																																																																																																																																																																	25868	0	0	7795	10118	121388	0	1603	0	11368	120115	0	0	0	0	11272	0	0	73	2789	0	0	990	990	24889	12983	17645	8192	66388	3674	0	0.0863	0.1435	0.1309	0.0000	0.0000	0.0000	10282	990	56	0	0	0	0	0	0	0	0	
64543																																																																																																																																																																																																	27586	0	0	0	96898	428484	0	8144	0	40617	423563	0	0	0	0	38704	0	0	2588	3053	0	0	3345	3345	38614	104319	91221	22220	196453	0	1883	0.0842	0.1473	0.1345	0.0000	0.0000	0.0000	35359	3345	1478	0	0	0	0	0	0	0	0	
64552																																																																																																																																																																																																	2931	0	0	0	19322	101534	0	960	0	11918	103832	6	0	0	0	13758	0	0	0	0	0	0	943	943	2520	29098	1996	7780	68612	8172	0	0.1240	0.1824	0.1699	0.0000	0.0000	0.0000	12815	943	177	0	0	0	0	0	0	0	0	
64619	157482	0	0	407857	261286	2458228	260	20029	0	205142	2580511	61550	0	0	0	234737	72632	0	2766	20316	-9854	0	20318	20578	156102	486674	211737	128800	1623459	43372	0	0.083049	0.126260	0.115192	0.000000	0.000000	0.000000	214159	20578	-979	483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	483	0	0	1859154	2578695	0	0	0	0	0	1463182	0	0	0	25004	25004	16287	0	0	8717	0	0	1816	0	0	0	0	0	0	129341	28141	0	0	4132	403725	0	0	-2014	5764	46213	0	211323	0	0	0	43372	0	0	11904	10	167932	1283336	0	0	0	0	0	145078	2299	4961	8585	433	-19744	1383	1258	0	0	125	12310	0	0	0	12310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1903	1903	0	0	1903	0	230	230	0	0	0	230	10158	0	0	0	10158	483	0	0	174130	486674	213640	1654999	0	97335	106820	1654999	1859154	0	0	0	214159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157482			407857	261286	2458228																																											
64730																																																																																																																																																																																																	16733	0	0	0	64380	215902	0	2773	0	24001	213962	0	0	0	0	25345	0	0	0	1867	0	0	1746	1746	11234	66358	30373	11207	110173	0	140	0.1104	0.1828	0.1702	0.0000	0.0000	0.0000	23599	1746	262	0	0	0	0	0	0	0	0	
65205																																																																																																																																																																																																	110836	0	0	135864	160941	799623	0	3354	0	132040	792867	0	0	0	0	133622	0	0	0	25817	-133	0	3257	3257	268970	137941	346581	8017	46746	0	0	0.164422	0.513068	0.500563	0.000000	0.000000	0.000000	130365	3257	1758	0	0	0	0	0	0	0	0	
65241																																																																																																																																																																																																	5441	0	0	0	19624	109804	0	2613	0	12019	111141	60	0	0	0	11450	0	0	0	1147	0	0	954	954	8685	20373	20435	7435	61402	0	1441	0.0957	0.1534	0.1407	0.0000	0.0000	0.0000	10496	954	82	0	0	0	0	0	0	0	0	
65513	129667	0	0	78181	32562	283392	0	47	0	49782	318560	0	0	0	0	49511	0	2659	65	950	0	0	47	47	114025	24913	928	5049	142990	0	0	0.155274	0.332396	0.332080	0.000000	0.000000	0.000000	49464	47	318	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	148952	318560	0	0	0	0	0	36856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104744	24913	10	0	0	0	0	78181	583	0	0	928	31051	0	0	0	0	0	0	8157	0	0	28699	0	0	0	0	0	6173	0	1124	0	0	536	33	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0	0	475	0	37	0	114025	24950	928	143498	0	4990	464	143498	148952	0	0	0	49464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129667			78181	32562	283392																																											
65559																																																																																																																																																																																																	113980	0	0	0	134679	467298	0	2063	0	45898	460863	0	0	0	0	45941	0	0	0	11926	0	0	2063	2063	127111	117806	54441	0	167892	400	0	0.095208	0.204317	0.195142	0.000000	0.000000	0.000000	43878	2063	2020	0	0	0	0	0	0	0	0	
65746																																																																																																																																																																																																	80660	0	0	0	51922	595190	0	8433	0	53230	595011	0	0	0	0	53008	0	0	4120	6052	0	0	5578	5578	6198	143279	96736	46277	356471	2841	5141	0.0804	0.1195	0.1070	0.0000	0.0000	0.0000	47430	5578	544	3	10000	0	0	0	0	0	0	
65858																																																																																																																																																																																																	67038	0	0	0	568972	1461858	0	10598	0	142778	1449258	83	0	0	0	119824	419	0	532	14400	0	0	10598	10598	241366	348413	189781	60294	652730	1248	0	0.076747	0.134351	0.122468	0.000000	0.000000	0.000000	109226	10598	7489	0	0	0	0	0	0	0	0	
66015	21980	0	0	0	72089	384535	0	5485	0	66676	409601	1052	0	0	0	69934	0	0	3520	5536	0	0	3129	3129	85625	56053	28276	27073	220300	0	0	0.1631	0.2820	0.2693	0.0000	0.0000	0.0000	66805	3129	-129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2355	248032	409601	0	0	0	0	0	243220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17814	4166	0	0	0	0	0	0	-234	56611	7	0	15706	0	0	0	0	0	0	8228	29195	28276	177521	0	0	0	0	0	31731	0	2972	1685	0	-5719	1760	0	0	0	1760	210	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2768	0	0	0	2768	0	0	0	85625	56053	28276	225038	0	11211	14138	225038	250387	0	21000	21000	66805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21980			0	59761	373908																																											
66154																																																																																																																																																																																																	7730	0	0	0	22432	90212	0	692	0	6034	90016	0	0	0	0	7313	0	0	0	0	0	0	692	692	2963	26297	13787	7042	47260	0	6	0.073558	0.122984	0.111347	0.000000	0.000000	0.000000	6621	692	-593	0	0	0	0	0	0	0	0	
66172																																																																																																																																																																																																	36876	0	0	0	35330	520726	0	4083	0	50351	509617	11	0	0	0	48648	0	0	0	11587	160	0	3896	3896	43893	30288	276656	16633	168356	221	2640	0.0887	0.1528	0.1406	0.0000	0.0000	0.0000	44752	3896	282	0	0	0	0	0	0	0	0	
66275																																																																																																																																																																																																	12873	0	0	0	32453	176098	0	2070	0	15044	174392	0	0	0	0	16002	0	0	0	1268	0	0	1443	1443	21818	22409	46183	8962	87072	70	141	0.083552	0.139347	0.126781	0.000000	0.000000	0.000000	14559	1443	344	0	0	0	0	0	0	0	0	
66837																																																																																																																																																																																																	28593	0	0	0	44174	278860	0	11786	0	1392	276287	0	0	0	0	2466	0	0	0	3265	0	0	2454	2454	28799	47714	58050	29108	155842	0	0	0.004463	0.013189	0.006594	0.000000	0.000000	0.000000	1233	1233	159	0	0	0	0	0	0	0	0	
67142																																																																																																																																																																																																	2338	0	0	0	28715	134796	0	491	0	26326	136657	0	0	0	0	25414	0	0	0	2771	0	0	491	491	1588	34892	43903	7545	53409	0	0	0.1824	0.3031	0.2972	0.0000	0.0000	0.0000	24923	491	1368	0	0	0	0	0	0	0	0	
67151																																																																																																																																																																																																	65686	0	0	1457	110594	550025	0	9131	0	50317	517808	0	0	0	0	52960	0	0	692	41486	0	0	4794	4794	60130	113177	61483	13602	322215	471	0	0.0931	0.1350	0.1228	0.0000	0.0000	0.0000	48166	4794	1826	0	0	0	0	0	0	0	0	
67209																																																																																																																																																																																																	7474	0	0	0	109326	634577	0	5065	0	98800	624318	129	0	0	0	101399	0	0	0	0	-1496	0	5065	5065	5438	34014	302826	20272	291280	0	0	0.154303	0.225571	0.214303	0.000000	0.000000	0.000000	96334	5065	3962	0	0	0	0	0	0	0	0	
67254																																																																																																																																																																																																	9212	0	0	0	1439	14816	0	5	0	1134	14650	0	0	0	0	1049	0	0	0	0	0	0	5	5	9250	5380	0	70	101	0	0	0.0713	0.8912	0.8870	0.0000	0.0000	0.0000	1044	5	90	0	0	0	0	0	0	0	0	
67311																																																																																																																																																																																																	383269	0	0	82764	3352746	14420570	0	144081	0	1373685	14528636	7252	0	0	63856	1159695	288931	667	10390	0	0	0	122014	122014	437913	4719269	478137	740570	8416271	30077	0	0.073811	0.119155	0.106618	0.073490	0.106156	0.118230	1037681	122014	-23887	63856	1565148	494094	0	0	0	0	0	
68345																																																																																																																																																																																																	3864	0	0	65803	45972	214877	0	1732	0	30108	219379	0	0	0	0	30985	0	0	438	3377	0	0	1367	1367	320	85983	78597	6471	50967	0	0	0.135008	0.284193	0.271655	0	0	0	29618	1367	490	0	0	0	0	0	0	0	0	
68448																																																																																																																																																																																																	8440	0	0	0	28200	99759	0	401	0	15816	94671	0	0	0	0	15256	0	0	0	0	0	0	401	401	114	14564	32392	2197	51634	0	0	0.156912	0.215654	0.209985	0	0	0	14855	401	961	0	0	0	0	0	0	0	0	
68756																																																																																																																																																																																																	5390	0	0	0	89703	215519	0	989	0	22589	217600	0	0	0	0	20904	0	0	0	1465	0	0	989	989	23000	72330	39112	10836	79391	0	0	0.0917	0.1813	0.1727	0.0000	0.0000	0.0000	19915	989	2140	0	0	0	0	0	0	0	0	
68831																																																																																																																																																																																																	8153	0	0	1210	25964	98945	0	1555	0	8541	101798	0	0	0	0	9962	0	0	190	0	0	0	922	922	3930	29331	19843	6550	57864	0	191	0.088970	0.136253	0.123643	0.000000	0.000000	0.000000	9040	922	-690	0	0	0	0	0	0	0	0	
68840																																																																																																																																																																																																	11987	0	0	0	56928	196640	0	694	0	17669	192236	676	0	0	0	16736	0	0	0	0	0	0	694	694	25607	42993	32923	11518	93302	0	0	0.083581	0.141234	0.135378	0.000000	0.000000	0.000000	16042	694	1324	0	0	0	0	0	0	0	0	
68859																																																																																																																																																																																																	54250	0	0	0	186036	417652	0	5588	0	47778	410136	0	0	0	0	43329	0	0	372	1098	0	0	3101	3101	59816	88902	82342	12996	184630	1738	0	0.0982	0.1765	0.1639	0.0000	0.0000	0.0000	40228	3101	7148	0	0	0	0	0	0	0	0	
68943																																																																																																																																																																																																	12645	0	0	0	2315	100025	0	1695	0	11146	100944	0	0	0	0	10283	0	0	0	450	0	0	960	960	13571	2922	14878	14269	68525	112	1822	0.0941	0.1353	0.1226	0.0000	0.0000	0.0000	9323	960	1	0	0	0	0	0	0	0	0	
69333																																																																																																																																																																																																	131121	0	0	190322	55256	1115696	0	12497	0	114545	1123126	0	0	0	0	133550	4929	0	0	0	0	0	12497	12497	173477	173959	153705	50572	915556	4929	0	0.1078	0.1237	0.1121	0.0000	0.0000	0.0000	121053	12497	-6508	0	0	0	0	0	0	0	0	
69678																																																																																																																																																																																																	70494	0	0	5149	105388	502019	0	6265	0	41930	500981	0	0	0	0	45095	0	0	414	39132	0	0	4245	4245	70581	87181	93106	23246	255828	0	0	0.081540	0.133587	0.121012	0.000000	0.000000	0.000000	40850	4245	1080	0	0	0	0	0	0	0	0	
69847																																																																																																																																																																																																	3035	0	0	2512	3473	19263	0	159	0	2774	19657	0	0	0	0	2757	0	0	0	0	0	0	103	103	3927	7518	2213	529	5644	0	0	0.135016	0.336261	0.323698	0.000000	0.000000	0.000000	2654	103	120	0	0	0	0	0	0	0	0	
70049																																																																																																																																																																																																	19533	0	0	779	43108	256541	0	3482	0	32741	256141	0	0	0	0	34939	0	0	0	0	0	0	2361	2361	11616	55094	32157	20287	160994	0	0	0.127188	0.186060	0.173487	0	0	0	32578	2361	163	0	0	0	0	0	0	0	0	
70058																																																																																																																																																																																																	3137	0	0	0	47201	100071	0	229	0	10256	99711	0	0	0	0	9312	0	0	0	0	0	0	229	229	1	23630	13753	6208	61706	0	0	0.091684	0.126963	0.123841	0.000000	0.000000	0.000000	9083	229	531	0	0	0	0	0	0	0	0	
70218																																																																																																																																																																																																	6051	0	0	0	1704	92741	0	1336	0	10365	91055	0	0	0	0	11333	0	0	111	2903	0	0	987	987	5611	3279	16676	1566	68476	0	0	0.1136	0.1442	0.1316	0.0000	0.0000	0.0000	10346	987	19	0	0	0	0	0	0	0	0	
70414																																																																																																																																																																																																	12707	0	0	4099	169936	450919	0	2538	0	37956	451782	0	0	0	0	40198	0	0	3596	6127	0	0	2510	2510	77348	120777	160913	12024	91324	1166	0	0.0834	0.2002	0.1877	0.0000	0.0000	0.0000	37688	2510	268	0	0	0	0	0	0	0	0	
70638																																																																																																																																																																																																	4082	0	0	0	32140	228911	0	1980	0	21901	226014	631	0	0	0	22677	0	0	0	2610	-791	0	1967	1967	3359	63108	38266	12823	124175	0	0	0.0917	0.1441	0.1316	0.0000	0.0000	0.0000	20710	1967	1892	0	0	0	0	0	0	0	0	
70955																																																																																																																																																																																																	5859	0	0	0	0	14601	0	123	0	2169	14406	35	0	0	0	2289	0	0	0	0	0	0	120	120	33	5946	678	348	8067	0	0	0.150562	0.238462	0.225961	0	0	0	2169	120	0	0	0	0	0	0	0	0	0	
71318																																																																																																																																																																																																	32865	0	0	36428	107517	607717	0	6164	0	60032	604863	0	0	0	0	66692	0	0	1687	57720	-1406	0	5362	5362	66147	114472	106793	27680	326299	0	0	0.101423	0.155813	0.143286	0.101116	0.142867	0.154933	61330	5362	-60	0	0	0	0	0	0	0	0	
71457																																																																																																																																																																																																	13069	0	0	339	74403	260530	0	3049	0	26103	244279	0	0	0	0	27033	0	0	436	4215	0	0	2453	2453	47292	39829	4515	14023	169633	0	0	0.1006	0.1422	0.1293	0.0000	0.0000	0.0000	24580	2453	1523	0	0	0	0	0	0	0	0	
71859																																																																																																																																																																																																	1242	0	0	0	3831	8365	0	88	0	1297	8389	0	0	0	0	1284	0	0	0	0	0	0	40	40	67	4970	1035	219	2301	0	0	0.1483	0.3410	0.3304	0.0000	0.0000	0.0000	1244	40	53	0	0	0	0	0	0	0	0	
72258																																																																																																																																																																																																	26260	0	0	29096	186741	374339	0	2550	0	32823	363491	0	0	0	0	31567	0	0	751	0	0	0	2028	2028	26128	218043	22841	7839	106593	3011	0	0.081265	0.195235	0.182692	0.000000	0.000000	0.000000	29539	2028	3284	0	0	0	0	0	0	0	0	
72351																																																																																																																																																																																																	1324	0	0	0	27566	63177	0	1490	0	10598	62155	35	0	0	0	9960	0	0	6	0	0	0	419	419	7986	20070	11979	1601	23575	0	0	0.153503	0.306292	0.293407	0.000000	0.000000	0.000000	9541	419	1057	0	0	0	0	0	0	0	0	
72454																																																																																																																																																																																																	5519	0	0	8907	1	88377	0	593	0	7796	86805	281	0	0	0	8389	0	0	0	0	0	0	593	593	2982	16605	7430	3568	61953	0	0	0.0898	0.1211	0.1126	0.0000	0.0000	0.0000	7796	593	0	0	0	0	0	0	0	0	0	
72678																																																																																																																																																																																																	5879	0	0	280410	119760	490239	0	2517	0	42669	478931	0	0	0	0	43496	0	0	0	808	0	0	1528	1528	81810	329960	48434	2029	31488	0	0	0.087628	0.359139	0.346522	0.000000	0.000000	0.000000	41968	1528	701	0	0	0	0	0	0	0	0	
73031																																																																																																																																																																																																	15039	0	0	0	3109	95433	0	4318	0	2199	101091	0	0	0	0	2909	0	0	0	105	0	0	719	719	19279	2941	31576	6130	45944	0	0	0.0217	0.0491	0.0370	0.0000	0.0000	0.0000	2190	719	9	0	0	0	0	0	0	0	0	
73116																																																																																																																																																																																																	42977	0	0	0	116110	543954	0	11275	0	39626	544129	0	0	0	0	39637	0	0	3755	44774	2233	0	5126	5126	120126	38208	32514	40863	361499	200	0	0.063424	0.098124	0.085434	0.000000	0.000000	0.000000	34511	5126	2882	0	0	0	0	0	0	0	0	
73152																																																																																																																																																																																																	3917	0	0	0	45798	92237	0	896	0	11151	89250	0	0	0	0	10091	0	0	0	3083	0	0	595	595	8746	34142	18905	3129	29685	0	0	0.106398	0.213575	0.200982	0.000000	0.000000	0.000000	9496	595	1655	0	0	0	0	0	0	0	0	
73554																																																																																																																																																																																																	9826	0	0	5250	19129	141022	0	2430	0	15940	144175	0	0	0	0	14860	0	0	0	0	0	0	1381	1381	3684	32116	7309	8572	100367	0	1857	0.095125	0.135837	0.123213	0	0	0	13479	1381	-16	0	0	0	0	0	0	0	0	
73956																																																																																																																																																																																																	1012	0	0	3487	23541	55297	0	554	0	7570	56996	0	0	0	0	7306	0	0	0	876	0	0	404	404	2057	24513	4612	1811	24000	0	0	0.1211	0.2271	0.2145	0.0000	0.0000	0.0000	6902	404	646	0	0	0	0	0	0	0	0	
74056																																																																																																																																																																																																	13702	0	0	5	16077	108094	0	746	0	9033	101412	0	0	0	0	9299	0	0	0	0	0	0	746	746	2722	22683	8012	5469	76093	0	0	0.0848	0.1095	0.1008	0.0000	0.0000	0.0000	8553	746	-83	0	0	0	0	0	0	0	0	
74140																																																																																																																																																																																																	37466	0	0	0	421553	1284407	0	12376	0	104624	1273650	4461	0	0	4710	104542	0	0	0	65468	0	0	10034	10034	52125	368286	324845	60754	536870	3205	0	0.074404	0.130621	0.118084	0.000000	0.000000	0.000000	94508	10034	6668	0	0	0	0	0	0	0	0	
74159																																																																																																																																																																																																	945	0	0	0	7062	31626	0	215	0	2989	31738	0	0	0	0	2929	0	0	0	284	0	0	215	215	195	11396	311	1976	19646	0	0	0.0855	0.1318	0.1221	0.0000	0.0000	0.0000	2714	215	275	0	0	0	0	0	0	0	0	
74403																																																																																																																																																																																																	36542	0	0	6499	147343	651460	165	6318	0	66401	638398	0	0	0	0	59404	0	0	1757	2455	-3770	0	5122	5287	60290	120874	157822	26945	302378	3240	0	0.0868	0.1455	0.1325	0.0000	0.0000	0.0000	54117	5287	796	0	0	0	0	0	0	0	0	
74449																																																																																																																																																																																																	4491	0	0	4479	0	20563	0	86	0	3250	20389	0	0	0	0	3336	0	0	0	0	0	0	86	86	7636	1339	7502	392	4172	0	0	0.1594	0.4073	0.3968	0.0000	0.0000	0.0000	3250	86	0	0	0	0	0	0	0	0	0	
74458																																																																																																																																																																																																	19714	0	0	0	5511	109030	0	929	0	10392	106524	0	0	0	0	9353	0	0	0	587	0	0	929	929	21916	7773	10057	4367	68219	0	0	0.0805	0.1243	0.1120	0.0000	0.0000	0.0000	8424	929	51	0	0	0	0	0	0	0	0	
75053																																																																																																																																																																																																	8693	0	0	0	244783	385795	0	2489	0	48683	390608	0	0	0	0	47875	0	0	0	3633	0	0	2300	2300	8314	207276	54203	39619	113446	136	0	0.1167	0.2606	0.2481	0.0000	0.0000	0.0000	45575	2300	2906	0	0	0	0	0	0	0	0	
75259																																																																																																																																																																																																	12204	0	0	0	11632	160220	0	1418	0	15352	151247	0	0	0	0	14833	0	0	29	10285	0	0	1418	1418	1432	15274	28606	9901	114329	1887	1724	0.089790	0.109015	0.098593	0.000000	0.000000	0.000000	13415	1418	94	0	0	0	0	0	0	0	0	
75446																																																																																																																																																																																																	11890	0	0	2000	144489	319543	0	2147	0	29375	254856	0	0	0	0	25445	0	0	0	805	0	0	2147	2147	2864	134857	73717	9048	104033	0	0	0.0926	0.1477	0.1352	0.0000	0.0000	0.0000	23298	2147	2702	0	0	0	0	0	0	0	0	
75455																																																																																																																																																																																																	21572	0	0	0	7507	34637	0	747	0	6235	33230	0	0	0	0	6296	0	0	0	0	0	0	100	100	16922	12188	1318	184	4917	0	0	0.1865	0.8546	0.8410	0.0000	0.0000	0.0000	6196	100	39	0	0	0	0	0	0	0	0	
75558																																																																																																																																																																																																	43413	0	0	0	26986	252312	0	1555	0	21292	250532	0	0	0	0	23308	0	0	0	6246	0	0	1555	1555	47095	58690	33327	13887	115005	0	0	0.086827	0.157833	0.147303	0.000000	0.000000	0.000000	21753	1555	-461	0	0	0	0	0	0	0	0	
75633	20139820	0	357	0	12605537	97264044	0	760851	0	13691488	94554690	45500	0	0	909893	10291543	5399649	583433	209080	6630613	-201626	679285	783299	1462584	21907760	13477783	9182944	4040862	46813123	98888	2188882	0.0991	0.1672	0.1434	0.0991	0.1434	0.1672	8828959	1462584	103319	717237	12214821	3730029	22304	0	0	0	0	0	0	0	0	0	0	16434	1648146	35953	977644	0	213878	61549131	89088730	0	2772	1083	5653	0	51060062	138902	835359	835359	3229967	3229967	0	296350	0	2933617	0	255753	3013778	1852	-12077	0	0	0	261448	17094948	3044871	0	0	0	0	0	0	154785	2542241	8205121	100902	1602488	0	0	0	0	98888	0	92226	835452	9061499	41070885	909893	0	0	0	0	11523439	5578607	504054	1379373	20543	5882434	104540	0	20079	0	84461	9100	0	2075	0	7025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126907	126907	0	0	0	126907	71755	71755	0	2573	0	69182	3315307	2872	70159	4250	3238025	0	670898	306746	21910632	14539917	9493940	54107699	0	2907983	4746970	54107699	61763009	1674291	12966	1687257	11031770	1386	0	0	0	0	0	0	0	0	0	0	0	0	0	10143	20139820			0	12605537	97238938									909893																																		
75651																																																																																																																																																																																																	1411	0	0	0	11782	41757	0	584	0	5977	42516	0	0	0	0	6088	0	0	0	1176	0	0	376	376	5545	7353	10193	2048	18847	0	0	0.1343	0.2036	0.1910	0.0000	0.0000	0.0000	5712	376	265	0	0	0	0	0	0	0	0	
76135																																																																																																																																																																																																	8210	0	0	0	28177	94717	0	4008	0	5162	98358	0	0	0	0	5896	0	0	0	3200	0	0	811	811	8553	30754	6879	1923	52422	0	0	0.0517	0.0956	0.0824	0.0000	0.0000	0.0000	5085	811	77	0	0	0	0	0	0	0	0	
76153																																																																																																																																																																																																	1882	0	0	1501	201	36263	0	716	0	3364	35829	0	0	0	0	3723	0	0	0	247	0	0	359	359	182	8285	3314	1863	25198	0	0	0.0939	0.1314	0.1187	0.0000	0.0000	0.0000	3364	359	0	0	0	0	0	0	0	0	0	
76443																																																																																																																																																																																																	5360	0	0	0	23275	110016	0	1243	0	13197	107719	0	0	0	0	12685	0	0	755	0	0	0	824	824	938	39122	24292	4394	45571	0	0	0.1101	0.1937	0.1811	0.0000	0.0000	0.0000	11861	824	1317	0	0	0	0	0	0	0	0	
76854																																																																																																																																																																																																	2478	0	0	0	34718	201707	0	4000	0	29984	206087	0	0	0	0	29603	0	0	465	3472	0	0	2020	2020	1756	36788	23215	10806	140640	0	0	0.1345	0.1855	0.1728	0.0000	0.0000	0.0000	27583	2020	1359	0	0	0	0	0	0	0	0	
77150																																																																																																																																																																																																	5049	0	0	0	9060	41007	0	461	0	5321	37925	0	0	0	0	5264	0	0	0	1395	0	0	363	363	1030	13984	1584	1851	24452	0	0	0.1292	0.1823	0.1697	0.0000	0.0000	0.0000	4901	363	420	0	0	0	0	0	0	0	0	
77253																																																																																																																																																																																																	1649	0	0	60	54641	161955	0	962	0	14249	161028	0	0	0	0	14022	0	0	0	0	0	0	962	962	1694	63464	24911	5891	71659	9995	0	0.081104	0.144040	0.134158	0	0	0	13060	962	1189	0	0	0	0	0	0	0	0	
77422																																																																																																																																																																																																	25362	0	0	0	18381	143618	0	3117	0	14967	145442	0	0	0	0	16072	0	0	190	0	0	0	1208	1208	26373	27462	3356	9095	89387	0	0	0.1022	0.1696	0.1569	0.0000	0.0000	0.0000	14864	1208	103	0	0	0	0	0	0	0	0	
