"IDRSSD"	RCFD2930	RCFD2932	RCFD2938	RCFD3049	RCFD3066	RCFD3552	RCFD3553	RCFD3554	RCFD3646	RCFDB557	RCFDC011	RCFDC012	RCFDLB56	RCON2930	RCON2932	RCON2938	RCON3049	RCON3066	RCON3552	RCON3553	RCON3554	RCON3645	RCON3646	RCONB557	RCONC011	RCONC012	RCONLB56	TEXT3552	TEXT3553	TEXT3554	
35646														786		349	234					72	131	0							
35879														1224		443	125					246	410	0							
36456														515		454	0					61	0	0							
36933														1170		583	0					162	425	0							
37051														176		29	0					115	32	0							
37341														395		275	0					85	35	0							
37435														6611		987	0					261	5363	0							
37640														46363	0	18641	6745	0	0	0	0	1025	19952	0	0	0	8675				
37659														770	0	733	0	0	0	0	0	15	22	0	733	0	0				
37949														304		0	0					71	233	0							
38740														972		22	153					117	680	0							
39327														2213		1294	712					26	181	0							
39756														5743		2420	0		2368			265	3058	0				ACCRUED SALARY CONTINUATION			
40033														1519		1462	0					9	48	0							
40499														84180		60497	0					234	23449	0	41652						
40855														754		148	0					249	357	0							
41553														407		0	0					15	392	0							
41629														1025		183	0					130	712	0							
41825														6198		2829	0					86	2272	1011							
41955														37		0	0					7	30	0							
42037														318		4	0					28	286	0							
42354														640		224	0					22	394	0							
42372														2336		2150	0					24	162	0							
42420														146598		115203	0					517	27514	3364		63152	47791				
42448														6545	0	2960	0	0	2271	0	0	2499	790	296	0	0	0	UNAMORTIZED LOAN FEE INCOME			
42457														301		0	61					21	219	0							
43052														887		68	0					56	763	0							
43351														2221		135	57					992	1037	0							
43856														680		638	0					5	37	0							
43959														1374		1	813					108	444	8							
44040														1829		3	58					70	1698	0							
44433														2644		1952	0	335				99	418	175		1514					
44741														2763		290	956					41	1476	0							
44750														319		48	0					123	148	0							
44929														1418		7	1252					50	109	0							
45038														391	0	71	0	0	0	0	0	61	259	0	0	0	0				
45047														758		267	0					111	380	0							
45056														430		0	273					15	142	0							
45430														3556		3147	0					53	356	0							
45458														1720		882	404					54	380	0							
45551														6390		4601	0					418	1371	0							
45560														24266		15681	0					910	7675	0	8287	6617					
45775														3241		3190	0					9	42	0							
46053														3044		2374	0					270	400	0							
46941														823		0	50					80	693	0							
47247														9421		3446	1807		2078			132	4036	0	973	169		Deferred Revenue			
47256														166		0	0					43	123	0							
47452														565		471	30					63	1	0							
47500														1654		299	314					5	878	158							
48057														2250		1838	50					135	227	0							
48150														101		0	37					55	9	0							
48374														6562		1687	0					637	4238	0							
48440														1877		1795	0					82	0	0							
49054														1140		191	0					118	831	0							
49148														1654		1440	21					18	175	0							
49241														8469		7510	0					375	584	0							
49652														858		69	419					66	304	0							
49858														1240		707	0					126	407	0							
49951														349		170	9					47	123	0							
50144														1499		0	0					219	1280	0							
50461														825		154	0	90	60			66	505	100				OREO Security deposit			
50872														266		95	0					21	150	0							
51253														7209	0	2471	0	0	1727	0	0	729	4009	0	0	0	0	Deferred Gain on Sale of ORE			
51356														77		0	0					55	22	0							
51459														1373		409	307					137	520	0							
51842														4526		1739	0		426			647	2140	0	1073			PPP Deferred Fee Inc			
52719														3197981	0	3187481	0	0	1189137	1969798	0	0	10500	0	0	0	0	Participant Fund Cash	Payable to Participants		
52951														1040		503	0					306	231	0							
53051														40		0	0					27	13	0							
54058														1161		48	52		42			564	497	0				ATM Clearing			
54656														12219	0	1278	7598	0	0	0	0	2463	880	0	996	0	0				
54973														122540		47863	6648					283	60146	7600	16882		24503				
55336														2201		888	498					74	741	0							
55635														891		219	0					77	595	0							
55653														559		45	3					28	483	0							
55970														2004		104	0					3	1847	50							
56258														462		0	0					43	419	0							
56351														22235		5604	4264		4646			441	11452	474				Management incentive accruals			
56548														5547		14	0					1190	4343	0							
56717														11656		6826	0					122	4708	0							
57040														140	0	0	0	0	0	0	0	90	50	0	0	0	0				
57451														5584		0	3073					693	1818	0							
58225														958		38	0					146	774	0							
58243														108488		77123	0	14666				1655	29110	600	2786	40620					
58355														109		26	0					63	20	0							
58551														1303		1105	0					198	0	0							
58636														6902		3166	0					115	3621	0							
58757														4317		3625	0					262	430	0							
58971														87131		58017	0					693	27421	1000	25817		18350				
59316														19941		9907	0					2156	7878	0							
59352														1798		3	413					161	1221	0							
59370														285		225	0					1	59	0							
59754														37		29	0					5	3	0							
60143	1286000	0	805000	0	0	356000	0	0	420000	60000	0	0	0									1000						Pension plan liability			
60330														5263	0	4185	0	0	0	0	0	441	637	0	2401	0	0				
60545														846		138	0					325	383	0				PPP SBA Loan Fees Payable			
60554														122		0	0					15	107	0							
60648														2651		1523	0					49	1079	0							
61122														20344		17073	0	4				177	2990	104	8743		3011				
61355														15716		61	1398					809	13167	281							
61476														4973		216	822					1	3682	252							
61757														1239		528	0		427			264	447	0	61			PPP Deferred Fee Income			
61832														4614		2824	1059					61	670	0				Contracts Payable	Deferred Fee Income		
61953														294		45	0					9	240	0							
62044														393		380	0					12	1	0							
62110														2350		249	0					0	2101	0							
62147														256		15	0					8	233	0							
63050														4640		4142	0					30	468	0							
63069	1602148	0	1187187	0	0	0	0	0	361538	47000	0	0	619319									6423									
63201														1382		924	193					19	200	46							
63573														3114		1993	0					20	1101	0							
63733														5103		1972	371	10	615			494	2251	15	1250		24	Cardholder Settlement Debit Cards			
63742														3940		1430	0					211	2093	206							
63751														5		0	1					4	0	0				ORE CONTRACT PAYMENTS			
64150														1400		1352	0					48	0	0							
64552														7762		2858	1744					104	3056	0	915			CDFI Award - DPA			
64730														1596		1145	0					28	423	0							
65205														4181		948	0					10	3223	0							
65513	2130	0	452	0	452	0	0	0	1614	0	0	0	0									64									
65559														5635		4726	0					148	761	0	4675						
65746														9635	0	4447	0	0	0	0	0	941	4247	0	3435	0	0				
65858														12008		4831	306					374	6497	0							
66154														1851		2	0					120	1729	0							
66275														1388		1130	0					109	149	0							
66677														3167		1541	860	25				2	764	0	686		190				
67142														362		23	0					109	230	0							
67151														5525		3628	0					342	1555	0							
67209														13031		8493	0					30	4097	411							
67254														118		0	0					0	118	0							
67656														20345		9861	0		8153			239	8380	1865				NET DEFERRED ANNUAL FEE			
67870														4933		4404	0					24	505	0							
68671														745		326	0					250	169	0							
68756														5767	0	4019	0	0	1117	0	0	301	1447	0	2207	0	0	Deferred PPP Loan Processing Fee			
68831														957		265	308					34	350	0							
69333														4793	0	0	0	0	0	0	0	813	3980	0	0	0	0				
69678														845		11	198					16	620	0							
70218														2343	0	1935	0	0	0	0	0	72	255	81	0	0	1884				
70414														1823		244	61					109	1409	0							
70638														1449		258	0					411	780	0							
70955														222		0	80					13	129	0							
71073														173		49	0					20	104	0							
71457														1095		126	110					172	687	0							
71859														2141		0	0					21	2120	0							
72258														1493		0	0					414	1079	0							
72351														377		44	0					44	289	0							
72454														644		0	0					231	413	0							
72678														5876		552	1661					14	3649	0							
73116														9152		299	0					15	8838	0							
73152														1079		997	0					42	0	40							
73554														507		7	0					83	417	0							
73956														178		105	0					23	50	0							
74056														897		506	130					44	217	0							
74140														17800		10269	2708					447	4376	0	9050						
74403														6901		2553	0			32	138	106	4007	235	922				ATM Settlement	SERP	
74449														18		0	0					10	8	0							
75259														8070		5626	0					304	2140	0							
75446														2318		385	391					319	1223	0							
75455														123		29	0					49	45	0							
75558														1144		362	0					127	590	65							
75633	3176361	0	2218189	0	1546432	0	0	0	697438	185714	0	0	562313									75020									
75651														208		0	76					66	66	0							
76153														293	0	19	193	19	0	0	0	30	51	0	0	0	0				
76443														498		0	0					13	485	0							
76854														943		89	0					244	610	0							
77150														404	0	156	0	0	156	0	0	135	113	0	0	0	0	DEFERRED LOAN FEES			
77253														1345		971	0					67	203	104							
77422														2639		2404	0					50	185	0							
77851														33763	0	19564	0	0	0	0	0	2918	11281	0	16006	0	0				
78157														695		584	0					3	108	0							
78241														230		0	0					45	185	0							
78559														443		339	24					16	46	18							
79042														1050		645	0	426				78	327	0							
79127														607		330	0					24	232	21	326						
79145														2702		1033	0					350	869	450							
79257														5		0	0					5	0	0							
79855														660		1	8					166	485	0							
80150														2886		1861	479					262	284	0							
80374														989		7	393					0	589	0							
80431														290		3	0					132	155	0							
81175														4301		2440	0					206	1655	0							
82033														1157		293	0		224			58	806	0				Accrued Retirement Plan			
82257														730		574	0					21	86	49							
82350														935		570	260					37	68	0							
82659														289	0	0	0	0	0	0	0	185	104	0	0	0	0				
83151														802		30	0					406	366	0							
83236														14		2	3					9	0	0							
83375														4751		607	0					430	3714	0							
83638	92349	0	56720	0	0	0	0	0	31077	1858	0	44764	0									2694									
83834														2066		1656	0					35	375	0							
83852														165		27	34					29	75	0							
83955														272		0	0					112	160	0							
84046														29		3	0					23	3	0							
84541														10140		7955	0					475	1710	0							
84804														431		243	0					9	179	0							
85052														1476		73	874					250	279	0							
85472														147245		91767	0					380	50374	4724		56425	25232				
85931														2017		1658	0					211	148	0							
86349														4317		3376	0					73	868	0							
86675														2903		703	0					22	1630	548							
87047														709		419	0					77	213	0							
87159														293		189	0					98	6	0							
87234														5991		3283	1053					980	660	15							
87476														378		0	0					3	287	88							
87579														5539		3894	0					108	1537	0	2938						
88231														32021		19384	0					92	12545	0							
88259														678		543	0					130	5	0							
88352														634		294	0	294				97	243	0							
88455														3861		225	2076					157	1403	0							
88950														132		14	0					78	40	0							
89032														1375		0	187					363	825	0							
89135														2183		1851	0					23	309	0							
89854														932		629	0					164	139	0							
89957														503		0	0					94	391	18							
90047														71		1	8					39	23	0							
90177														1485		316	322					0	847	0							
90328														3898		2608	0					199	1051	40							
90337														4357	0	3048	0	0	0	0	0	415	894	0	3003	0	0				
90579														3963		2886	0					28	1030	19							
91615														416		55	140					36	185	0							
91754														8874	0	2321	4025	142	0	0	0	1232	1296	0	2152	0	0				
91950														957		938	0					19	0	0							
92144														294		0	254					40	0	0							
92676														3741		2693	0		2087			34	1004	10				Liability for Pension & Postretirement benefits			
92706														4701		4541	0					28	72	60							
92902														23		15	8					0	0	0							
93244														676		0	0					213	463	0							
93543														5643		2522	374					614	2133	0							
93619	607	0	0	0	0	0	0	0	607	0	0	0	0									0									
94139														10409		4193	0					182	5885	149							
94522														4948		4173	0					260	515	0							
94755														781		399	317					65	0	0							
94858														684		301	0					105	278	0							
95051														60457	0	40225	0	35445	0	0	0	62	20170	0	0	0	0				
95677														395		375	0					0	0	20							
96553														689		4	259					51	375	0							
97055														775		85	0					209	481	0							
97279														322		0	170					52	100	0							
97457														186		0	0					91	95	0							
97804														17852		8075	0					226	9239	312							
97943														3395		1490	353					276	1276	0							
98351														1229		573	392					43	221	0							
98463														7122		1025	0					2	5843	252							
98717														1431	0	45	0	0	0	0	0	1043	340	3	0	0	0				
99143														4691		3941	0					105	645	0							
99376														22181		2908	0	478	701	300	13	447	17765	1061		1416		Deferred Revenue	Reps and Warranty Reserves	Miscellaneous Liabilities	
99442														3137		1499	429					656	553	0	1355						
99536														12931		8190	0					2146	2595	0							
99853														238		227	0					11	0	0							
100236														5427		4545	0					156	726	0							
100357														10654		9845	0					186	623	0							
100562														122038	0	100756	0	0	47624	0	0	1185	17097	3000	0	0	28894	SERP & MPL			
100777														4580		3031	0					599	950	0							
100843														8040		7203	0					75	687	75							
101019	101476	0	45612	0	0	10402	7140	6398	51533	625	11603	0	0									3706						Pension and Post Retirement Medical	Cash Collateral	Acceptances Executed	
101037														3961		2159	0					591	1211	0							
101439														996		514	0		167	347		84	398	0				ATM SETTLEMENT PAYABLE	DEFERRED SBA PPP LOAN FEES		
101671														9125		8141	0					390	594	0	2587						
101738														2089		503	1033					115	438	0							
101952														508		0	0					16	492	0							
102333														261		0	119					39	103	0							
102342														2138		902	201					721	314	0							
102539														53		36	0					17	0	0							
102557														254		70	72					95	17	0							
102874														2860		2039	35	1912	95			179	607	0				Suspense Account			
103134														183	0	26	36	0	0	0	0	30	91	0	0	0	0				
104234														2889		2067	502					14	306	0				FHLB Advances			
104542														363		253	2					108	0	0							
104971														78		50	0					1	27	0							
105026														2588		1509	0					246	815	18							
105473														17796		8599	0					56	8718	423							
105530														3041		2335	0					50	656	0							
106359														12908		7297	0					225	4386	1000		4598					
106452														2465		983	0					19	1324	139							
106676														168		16	0					15	135	2							
107244														311302	0	129979	71244	0	0	0	0	6149	35504	68426	0	0	70123				
107459														49		0	10					27	12	0							
107570														3282		1848	24					296	1114	0							
107758														320		231	0					24	65	0							
108072														771		47	0					3	680	41							
108269														2111		2104	0					5	2	0							
108652														68		63	0					5	0	0							
108746														68		0	0					25	43	0							
108951														6343		3121	255					516	2451	0							
109136														2030		669	483					237	641	0							
109154														294		0	0					69	225	0							
109453														1005		291	145					238	331	0							
109574														6862		5809	0					9	1044	0							
109659														4715		4311	0					80	324	0							
110413														2426		830	0	288				14	1582	0	542						
110936														3030		289	0					118	2433	190							
110945														641		2	63					45	531	0							
110972														179		18	89					28	44	0							
111157														614	0	237	263	43	39	0	0	81	33	0	155	0	0	DDA Suspense			
111205														3145		9	0					21	1688	1427							
111942														4962		4111	0					129	722	0							
111979														4651		559	0					89	4003	0							
112163														23162		20207	0					684	2271	0			14112				
112332														577		337	0					138	102	0							
112444														952		331	0					171	450	0							
112510														331		0	0					39	292	0							
112556														774		380	139					64	191	0							
112837	8351428	0	6245052	0	0	0	0	0	1853828	194570	0	0	1708789									57978									
113003														24996		5828	19081		3534	1989		1	86	0	305			Pension 87	Fasb 106		
113030														507		0	0					160	347	0							
113441														4630		864	0					148	3618	0							
113601														7066		4007	0					123	2025	911							
113740														980		222	0					300	458	0		222					
113937														1412		0	0					110	1302	0							
114149														2889		38	249					96	2506	0							
114251														529		276	0					83	170	0							
114260														35187	10134	12143	11949	0	0	0	0	310	9685	1100	0	0	0				
114457														957		830	0					82	45	0							
114774														1019		10	793					25	191	0							
114840														1442		695	0					56	691	0							
114859														162		0	20					25	117	0							
115146														265		23	0					86	156	0							
115575														5725		3798	0					0	1538	389							
116358														74		15	0					40	19	0							
116554														533		510	22					1	0	0							
116741														267		0	93					125	49	0							
117038														2524	180	1448	0	0	5	0	0	297	779	0	1263	0	0	DEALER			
117074														3061		3003	0					2	56	0							
117458														4927		2425	0					182	2295	25							
117775														4266	0	3706	0	35	3671	0	0	12	548	0	0	0	0	Factors Client Reserves			
118156														4101		1920	318					333	1530	0							
118660														218		7	0					0	211	0							
118736														3135		2091	660					74	310	0							
119153														833		694	0		153			38	81	20	370			STATE INCOME TAXES PAYABLE			
119528														14220		3043	0					495	10682	0							
119779														5149		0	0					1	5012	136							
119872														3016		2872	0					6	92	46							
120476														222		13	0					43	166	0							
120542														454		8	0					264	182	0							
120609														24556		22378	0					1	1889	288							
120953														2272		9	1438					152	673	0							
121642														23150	0	435	0	0	0	0	0	3086	19629	0	0	435	0				
121651														6927		2870	2222					83	1752	0							
121914														1129		1006	0					81	42	0							
122153														357		0	85					44	228	0							
122546														225		156	0					48	21	0							
122854														106412		79268	0	22810				2373	24771	0		24143	24733				
123075														232		88	18					59	67	0							
123374														334		251	0					38	45	0							
124344														2436		833	0					624	979	0							
124830														609		67	288					79	175	0							
125154														9950		6319	0		6319			42	3589	0				RETIREMENT BENEFIT OBLIGATION			
125471														652253		500760	67293			264178		1428	76023	6749				Credit balance due - factors	CRA LIHTC Payable	Other Liab. - Operating Lease Liablitiy	
125855														5063		0	0					141	4922	0							
125873														182		0	0					0	182	0							
125958														132		0	71					35	26	0							
126012														9196		6442	406					28	2320	0							
126049														119		0	0					43	76	0							
126375														877		393	0					95	389	0							
126553														1073		345	0					23	705	0							
126834														5884		3771	0					1197	916	0							
127055														267		0	0					160	107	0							
127224														679		0	0					101	578	0							
128258														106		31	5					17	53	0							
128904														382007		221953	0					114	150605	9335			88537				
129349														1744		1127	37					100	446	34							
129358														475		130	17					46	282	0							
129479														5626		3419	243					53	1794	117							
129732														49060	0	7751	0	7326	0	0	0	780	38160	2369	0	0	0				
129853														1092		19	112					231	730	0							
129910														3244		1260	0					340	1644	0							
130345														5385		625	0					82	4678	0							
130541														65235		55682	5417	4522				1174	2962	0	403						
130813														4503		4073	168					167	95	0							
131034														4683		3789	0					151	655	88							
131173														8030		4192	0					486	3352	0							
131436														3088	0	2246	0	0	0	0	0	48	794	0	2084	0	0				
131650														54424		34156	0					4760	13086	2422			24114	FDIC Clawback Liability			
131717														553	0	120	0	0	120	0	0	14	419	0	0	0	0	Escrow Loan Account			
131940														241		0	89					43	109	0							
132107														29766		17454	0					306	11226	780							
132451														204		39	47					57	61	0							
132554														12499	0	7740	1675	0	0	0	0	402	2682	0	963	0	0				
132778														261		146	0					3	111	1							
132938														497		89	215					82	111	0							
133579														8935	1100	8767	95	0	1780	1080	0	33	40	0	1353	0	0	RETIREMENT PLANS	ACCRUED EXPENSES		
133850														16909		325	6189					590	9805	0							
133971														6902		6112	0					47	743	0							
134156														1241		0	505					72	664	0							
134437														10362	0	7122	0	0	0	0	0	558	2682	0	6246	0	0				
134455														1076		0	0					113	963	0							
134848														590		188	144					164	94	0							
135836														586		0	0					55	531	0							
135854														342		28	57					169	88	0							
136048														1532		911	0					135	486	0							
136338														6013		1262	246					102	4403	0							
136459														553		174	276					78	25	0							
136655														664		337	9					166	152	0							
137205														13237		5886	0					64	5853	1434							
137447														4906		1824	1309					132	1641	0							
137456														375		0	0					18	357	0							
137559														522		193	0					148	181	0							
137643														867		250	214					75	328	0							
137652														47594	0	27720	2571	0	20440	0	0	3	17300	0	0	0	0	A/P Refi's			
137915														78656		14893	34229		6343			217	27329	1988				Accrued Expense			
138051														334		0	69					254	11	0							
138257														253		12	0					46	195	0							
138556														1199		1013	82					40	64	0							
139133														2527		1539	0					52	936	0	1539						
139478														1695		320	0					3	1287	85							
139553														6436		700	2412					365	2959	0							
139656														26627	0	11347	1537	6656	0	0	0	1455	12288	0	0	0	3655				
139740														42036		35780	0					778	5478	0		26798					
139834														298		0	10					86	202	0							
139843														27022		16933	4527		5426			236	5326	0		5474		LIH Commitment	Commitment to Purchase Securities		
139955														424		118	93					53	160	0							
140157														1368		82	1076					92	118	0							
140362														15273	0	9063	0	0	0	0	0	50	5553	607	0	4796	4089				
140634														273		65	0					62	146	0							
141211														5650		4949	0					430	271	0							
141341														1694		975	0					25	663	31							
141350														1562		1385	0					152	25	0							
141556														17723		10836	0		4371			3449	2676	762				Loss Share True Up			
141677														692		300	0					11	381	0							
141958														712		0	283					95	334	0							
142049														686		0	21					80	585	0							
142179														1791		1303	0					15	473	0							
142955														4991		3785	0					355	851	0							
143372														842		627	0					6	209	0							
143662														398441		292010	0					1454	80671	24306			115233				
143859														954		88	68					288	510	0							
143952														439		0	0					17	422	0							
144034														2448		1338	0					184	926	0							
144052														2538		1177	506					109	746	0							
144155														959		0	0					25	934	0							
144678														4757		4556	0					1	200	0							
144856														4793		1072	0					145	3576	0							
144913														1461		792	47					590	32	0							
145059														1091		688	216					142	45	0							
145545														2438		1862	0					183	393	0							
145554														642		1	0					22	619	0							
145741														487		0	19					333	135	0							
145844														2083		0	0					301	1782	0							
146056														52		23	0					5	24	0							
146663														4020		2665	0					83	1097	175							
146672														467735		245821	0	117144				2036	194977	24901							
147651														100		2	0					15	83	0							
147679														4025		191	0					64	3754	16							
147857														999	0	323	0	4	0	0	0	321	355	0	0	0	0				
147923														751		706	0					45	0	0							
148171														684		528	0					6	117	33							
148238														1790		985	0					126	679	0							
148340														416		137	70					114	95	0							
148470														7648		6865	0					3	780	0							
148715														649		120	200					17	312	0							
148809														8942		4355	0					0	4587	0	2933						
148920														107		0	0					10	97	0							
149150														1007		85	237					23	662	0							
150035														16026		11174	601					863	3388	0	5025						
150044														5837		3885	0					145	1807	0							
150156														36		0	0					36	0	0							
150727														3977		204	1259					314	2200	0							
151546														368		0	0					114	254	0							
151957														1879		51	160					159	1509	0							
152057														1560		0	0					19	1541	0							
152253														257		1	0					135	121	0							
152431														680		58	3					89	530	0							
152440														374		29	0					165	180	0							
153054														640		67	0					63	510	0							
153353														7954		2244	975					327	4408	0							
154154														6364		5024	464					145	555	176							
154770														6946		4776	0					76	1519	575							
155759														26		0	0					26	0	0							
156457														139		0	0					130	9	0							
156635														705		0	487					58	160	0							
156970														537		19	0					57	461	0							
157155														520		225	100					33	162	0							
157379														149		89	0					0	60	0							
157650														511	0	145	0	0	0	0	0	58	308	0	0	0	0				
157744														2025		1492	0					52	481	0							
157856														275		262	0					4	9	0							
158376														182		96	0					44	42	0							
