"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJ447	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
1669	11		12	1	CONF							0	0	0	0	false	20	0	0	6	97	16	0	169	23		173	16		26	19	0	0	0	0																				
1856	13		25		CONF							0	0	0	0	false	1	0	0			1	5	7	3			9	39		4	0	0	0	0																				
2040	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	3	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
2161	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	118	0	0	104	0	0	102	0	0	0	0	0	0	0	0	0																
2376	143	0	147	47	CONF	7	0	0	328	0	0	0	0	0	0	false	57	0	0	0	603	11	37	372	93	0	70	335	213	111	41	0	0	0	0	0	0	10	96	MISCELLANEOUS FEES			MISCELLANEOUS FEES												
2554			3	2	CONF				8	3		0	0	0	0	false	1	0	0			1			1		-1		1		2	0	0	0	0								software maintenance	Correspondent Svc Charge											
2732	217				CONF							0	0	0	0	false		0	0					159								0	0	0	0																				
2750					CONF							0	0	0	0	false		0	0													0	0	0	0																				
3252	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
3458					CONF							0	0	0	0	false		0	0													0	0	0	0																				
3720					CONF							0	0	0	0	false		0	0					227								0	0	0	0																				
3971	365				CONF				1580	406	361	0	0	0	0	true		0	0		115			226			318		158	219	273	0	0	0	0								Direct and indirect expense allocations/management fees from holding company	Collection expenses	Computer software expenses					Other noninterest expense items that exceed the reporting threshold:  Employee reimbursed expenses of $248 thousand.					
4156					CONF							0	0	0	0	false		0	0													0	0	0	0					MORTGAGE BANKING			INTERNET BANKING	INFORMATION TECHNOLOGY - BANKONIT											
4231	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
4839			23	81	CONF							0	0	0	0	false		0	0			3		145	20			61		30		0	0	0	0					BEA Award			Write off of net book value of Lake Street Branch	Relocation expenses related of move to North Ave		Parent holding company funds downstreamed									
5069			232		CONF							0	0	0	0	false		0	0													0	0	0	0								Off Balance Sheet Provision												
5135	16	3	21	4	CONF	0	0	0	0	0	0	0	0	0	0	false	24	0	0	1	31	16	118	0	36	0	3	27	12	45	65	0	0	0	0	0	0	0	0																
5210	101	0	178	0	CONF	0	0	0	224	0	0	0	0	0	0	false	0	0	0	0	257	0	0	151	117	0	530	152	145	234	150	0	0	0	0	0	0	0	0				PA Shares Tax												
5461					CONF				130			0	0	0	0	false		0	0					304			133					0	0	0	0								TRANSPORTATION EXPENSE												
5751					CONF							0	0	0	0	false		0	0					123								0	0	0	0								Trust Accounting & Software Expense												
6039	43	0	44	7	CONF	0	0	0	0	0	0	0	0	0	0	false	31	0	0	0	0	0	0	166	46	0	0	32	0	0	0	0	0	0	0	0	0	0	0																
6329	267	3	12	41	CONF				68	358	65	0	0	0	0	false	89	0	0		36	9	84		215		579	53	135	88	190	0	0	0	0		14	42	32				Education & Training	Service Fee Analysis	Donations	Transfer from Holding Company									
7009	0	0	0	0	CONF	0	0	0	7957	938	340	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Investment Advisory and Other Service Fees	Custody Fees	Other Professional Fees										
7045	20	0	22	0	CONF	0	0	0	0	0	0	0	0	0	0	false	15	0	0	3	0	4	17	0	15	0	106	15	0	54	8	0	0	0	0	0	0	0	0																
7072					CONF							0	0	0	0	false		0	0					275								0	0	0	0																				
7456	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
7634					CONF							0	0	0	0	false		0	0													0	0	0	0																				
8033	5	14	41	15	CONF				110			0	0	0	0	false	11	0	0	2	9	3		54	11			26	5		12	0	0	0	0			21	2				Management Expense												
8462	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
8631	9		21		CONF				5			0	0	0	0	false	4	0	0		14	1	29	79	2			13	2	3		0	0	0	0				6				Correspondent Bank Charges												
9357	0	0	0	0	CONF	0	0	0	137	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Outside Vendor Services												
9553	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
9807	231			216	CONF	707						0	0	0	0	false		1	0		-634	0		847				150	115			0	0	0	0			2045		PREPAYMENT PENALTIES											Adopted ASu 2016-01				
9955					CONF							0	0	0	0	false		0	0													0	0	0	0								INTERNET BANKING												
10250	56		16	21	CONF	20			35	70	27	0	0	0	0	false	19	0	0	7	3	10	5	7	39		436	7	14	176	36	0	0	0	0					Other Service Charges			Insurance Bond, D&O, Property, VSI, SBA	Technology Vendor Expense	Donations	Downstream from Holding Company									
10849	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	8	0	28	106	17	0	0	32	0	0	44	0	0	0	0	0	0	0	0																
11145	22	16	21	5	CONF	6	31	0	40	0	0	0	0	0	0	false	24	0	0	9	0	7	154	128	19	0	0	45	12	64	31	0	0	0	0	0	4	9	15	Other Misc Asset Income	Credit & Collections		Credit & Collections												
11640	22	0	49	0	CONF	0	0	0	30	30	0	0	0	0	0	false	11	0	0	10	27	10	14	0	16	0	50	19	22	0	28	0	0	0	0	0	0	0	0				CONTRIBUTIONS	OCC ASSESSMENTS											
11837					CONF							0	0	0	0	false		0	0													0	0	0	0																				
12030	28	11	0	25	CONF	30	0	0	166	61	60	0	0	0	0	false	0	0	0	16	0	13	0	184	51	0	196	36	0	0	34	0	0	0	0	0	0	107	0	Appraisal Fees			Federal Tax Credits expense	Bldg repairs and maint	Local Property Tax exp										
12142	19		27	1	CONF	496			51			0	0	0	0	false	20	0	0	6	36	31	20		25		45	31	12	5	13	0	0	0	0		6		12	Miscellaneous Income			contracted services												
12179					CONF							0	0	0	0	false		0	0													0	0	0	0					Earnings on Bank Owned Life Insurance	Brokered loan origination fees		Ohio state sales taxes.	Debit card expenses.											
12311	14432			4395	CONF	3663	11184	5829	-9930	0		0	0	0	0	false	5276	0	0	3293	14594		3965	64394			49120				5582	0	0	0	0					Operating Lease Income	Commitments / Letter of Credit Fees	Foreign Exchange Fees	Litigation and Settlement												
12647	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
12656	0	2	9	0	CONF	0	0	0	2	3	0	0	0	0	0	false	2	0	0	0	0	0	2	3	2	0	1	3	0	2	3	0	0	0	0	0	0	1	2				Correspondent S/C	Equipment Leasing											
12937					CONF				27			0	0	0	0	false		0	0					47				73				0	0	0	0								General Insurance												
12946	110				CONF					115	202	0	0	0	0	false		617	0				112	308			421			366	431	0	0	0	0					income from subsidiary investments	Miscellaneous income	Mastercard bonus income	Correspondent bank fees	BUS DEVELOPMENT 67 TRAVEL 48	FRAUD LOSS						Change in accounting for Unreal G/L on equity securities				
13103	299		137		CONF				147	149	233	0	0	0	0	false		0	0					749	148				390	208		0	0	0	0								Other professional services	Computer software depreciation	Other computer service expense										
13251	2		4	1	CONF							0	0	0	0	false	4	0	0				3	11	5			8				0	0	0	0			1																	
13457					CONF							0	0	0	0	false		0	0													0	0	0	0								Life Insurance Expense												
14052	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
14155	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	105	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0																
14650			6		CONF							0	0	0	0	false	4	0	0	1	13			16	11		18	9		13	3	0	0	0	0																				
14753					CONF							0	0	0	0	false		0	0													0	0	0	0																				
14865					CONF							0	0	0	0	false		0	0					289			281					0	0	0	0					MORTGAGE BROKER FEE INCOME	MISCELLANEOUS INCOME		Armored Car Service	Electronic Banking Expense		Retired Subordinated Debt									
14977	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
16551	50	2	4	5	CONF					20	27	0	0	0	0	false	43	0	0		39	12	21	142	34		164	7	29	113	26	0	0	0	0			23	4	Management fees			OREO Expense	Software amortization	Credit Reports						Prior year adjustment for adding mortgage servicing asset				
16748	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0																
17110	194	0	0	0	CONF	0	0	0	620	160	249	0	0	0	0	true	81	0	0	0	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				REFERRAL FEES	TRAVEL & ENTERTAINMENT	CUSTODIAN COSTS					CONTRIBUTIONS                              138 OTHER PROFESSIONAL FEES          85 OTHER CLIENT COST S                      88					
17147	820	218	0	0	CONF	0	0	0	571	753	0	0	0	0	0	false	546	0	0	0	1140	0	369	2288	0	0	4429	382	0	1101	432	0	0	0	0	0	0	0	0	Derivative Hedge Income			Other Outside Services	Insurance Expense											
17259	4	4	9	14	CONF		2	9				0	0	0	0	false	8	0	0	1	17	1	38		6							0	0	0	0					ROYALTY INCOME	FORFITURE INCOME	OTHER MISC INCOME													
17950					CONF							0	0	0	0	false		0	0					159								0	0	0	0																				
17978	3	4	34		CONF	8			25	28	2	0	0	0	0	false	15	0	0	4		10	12	91	10		31	22		4	15	0	0	0	0		1	15	9	Appraisal & Inspection Fees	Misc Operating Income	Misc Non-Operating Income	OCC Assessments	Misc. Operating Expense	Misc. Non-Operating Expense										
18050					CONF							0	0	0	0	false		0	0								499			189	148	0	0	0	0																				
18135	0	0	0	0	CONF	0	0	0	120	37	0	0	0	0	0	false	0	0	0	0	32	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Conventional Credit Enhancement Ins Exp	FHA Title 1 Ins Exp											
18827	353	5	89	16	CONF	260	0	0	72	105	0	0	0	0	0	false	87	0	0	19	267	15	24	540	68	23	430	98	4	231	114	0	0	0	0	0	15	18	56	OTHER LOAN FEES			EXAMINATION FEES	PA CAPITAL STOCK TAX											
18836	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
18854	171				CONF							0	0	0	0	false		0	0					243								0	0	0	0																				
19356	0	0	0	0	CONF	0	0	0	0	0	0	0	0	244	-69	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									Purchase accounting-Reserve for purchase of impaired loans	Purchase accounting-12-31-2017 balance of reserve for loan losses of bank that was purchased						
19936					CONF							0	0	0	0	false		0	0				132							137		0	0	0	0								Deferred Compensation Expense	Donations/Contributions											
19972	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
20053					CONF							0	0	0	0	false		0	0									107				0	0	0	0																				
20633		215			CONF							0	0	0	0	false		0	0					303			104					0	0	0	0			150																	
20857					CONF							0	0	0	0	false		0	0													0	0	0	0								Donations												
21256			5	4	CONF							0	0	0	0	false		0	0		2	2		11	1						1	0	0	0	0																				
21359	13	0	7	0	CONF	0	0	0	5	0	0	0	0	0	0	false	5	0	0	0	2	2	1	19	2	0	4	6	0	0	2	0	0	0	0	0	1	0	0				Correspondent Bank Fees												
21658					CONF							0	0	0	0	false		0	0													0	0	0	0								Maintenance Agreements												
22048	32			5	CONF	2	8		31			0	0	0	0	false	7	0	0	4	18	8	142	149	16			31	14	50	9	0	0	0	0		8	25	13	mISCELLANEOUS iNCOME	Loan Processin Fees		Public Relations/Charitable												
22543					CONF							0	0	0	0	false		0	0													0	0	0	0								Online Banking (Q2 vendor)	Computer Software											
22552	15	0	16	2	CONF	0	0	0	44	0	0	0	0	0	0	true	6	0	0	1	0	3	39	6	15	0	0	11	16	2	7	0	0	0	0	0	1	0	0				EQUIPMENT & SERVICES												
22730	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
22936	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
23456					CONF							0	0	468	0	false		0	0													0	0	0	0								SERVICE CHARGES					Merger of this bank and First National Bank of Battle Lake, MN							
23504	962	0	295	463	CONF	135	505	260	533	322	0	0	0	0	0	false	0	0	0	0	546	0	0	678	0	0	402	227	514	199	0	0	0	0	0	0	157	0	0	MERCHANT INCOME	TITLE INSURANCE	LOAN SWAP FEE INCOME	SYSTEM SERVICES	OTHER ACCRUED EXPENSES											
23643	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
23755					CONF							0	0	0	0	false		0	0					171								0	0	0	0																				
24006	110		154	140	CONF							239	0	0	0	false		0	0		136			291	103			172			134	0	0	0	0											Unearned ESOP Shares Expense									
24378	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
24453	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
24659					CONF							0	0	0	0	false		0	0													0	0	0	0																				
24668	137				CONF				87	80		0	0	0	0	false		0	0					104			256			164		0	0	0	0								Software Maintenance	OCC Assessment							0				
24949	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
25357	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
25647					CONF							0	0	0	0	false		0	0													0	0	0	0											Holding Company capital infusion									
26176					CONF							0	0	0	0	false		0	0					137								0	0	0	0																				
26242					CONF							0	0	-3	0	false		0	0								228			108		0	0	0	0													ALLL Off Balance Sheet Adjustment							
26457					CONF							0	0	0	0	false		0	0													0	0	0	0																				
26765	0	0	0	0	CONF	0	0	0	0	0	0	2	0	0	0	false	0	0	0	0	0	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							Restricted stock award expenses									
27070					CONF							0	0	0	0	false		0	0					137								0	0	0	0								Organization Dues, Subscriptions, Meetings	Insurance	Other Real Estate Expense										
27548	149		51	5	CONF							0	0	0	0	false	55	0	0	10	81	10	52	393	113		731	39	195	286	124	0	0	0	0			19	227																
27614					CONF							0	0	0	0	false		0	0					415			225					0	0	0	0					Other Service Fee Income			Loan Expense	Corporate Franchise Tax	Other Taxes										
27847	89		36	4	CONF				68	295	30	0	0	0	0	false	38	0	0	8	70	13	299	78	75			19		103	52	0	0	0	0		6	13					BANK OWNED LIFE INSURANCE EXPENSE	MANAGEMENT FEES + OTHER OUTSIDE SERVICE FEES	STATE ASSESSMENT										
28013	611		771		CONF				190			1623	252	0	0	false		0	0		954			996			208	307	377			0	0	0	0								Contributions			capital contributions	change in unallocated ESOP								
28152					CONF							0	0	0	0	false		0	0													0	0	0	0					Contract Services															
28255	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
28406	326	0	337	0	CONF	240	653	768	151	408	0	0	1023	0	0	true	0	0	0	0	276	0	0	804	120	0	305	215	156	242	0	0	0	0	0	0		0	0	Net Lending Swap Fees	Gain on Exchange of Cost Basis Investment	Other Investment Income	Amortization of Core Deposit Intangible	Technology Systems Maintenance			STOCK COMP & ESOP EXPENSE			Derivative Gain on Mortgage Pipeline Loans of $167,000 (Ran out of boxes at RI-E 1).					
28675					CONF							0	0	0	0	false		0	0					103								0	0	0	0								CONTRIBUTIONS												
28732					CONF							0	0	0	0	false		0	0					101								0	0	0	0								0												
29476			12	10	CONF							0	0	0	0	false		0	0		13			5	11			22				0	0	0	0																				
29636	156				CONF				135	167	116	0	0	0	0	false	137	0	0		126				243		602			109	125	0	0	0	0								SERP Plan Expense	Other Losses	Other Professional Fees										
29878	201		369	39	CONF				963	350	99	0	0	0	0	false	42	0	0	1		48	39	293	67			254	132		67	0	0	0	0		2	76	115				Other Non Interest Expense	Mortgage Loan Expense	Burglary Expense RP										
30052	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0												
30502	0	0	0	0	CONF	0	0	0	237	160	0	0	0	0	0	false	0	775	0	0	0	0	0	206	0	0	389	0	0	178	0	0	0	0	0	0	0	0	0				Software maintenance, amortization & expense	Outsourced professional fees							ASU 2016-01 adoption-reclass unrlzd equity gain from net inc to retained earnings			t	
30650					CONF							0	0	0	0	false		0	0													0	0	0	0					Gain on Involuntary Eminent Domain	Misc Income										deferred income tax				
30810	171415				CONF	61196	10692	-11028	243169	23446	31850	0	0	-1346	0	false	20642	-312	0								151150					0	0	0	0					Net Credit Card Fee Income	Servicing Fees Received from Affiliates	Losses on Noncontrolling Investments	Servicing Fees Paid to Affiliates	Outsourced Services	Collection Fees			PCI Student Loan Net Losses Recorded Against Revenue			ASU 2017-12, Targeted Improvements To Accounting For Hedging Activity				
31134					CONF				20			0	0	0	0	false	15	0	0			6	17	156	13		75	30			35	0	0	0	0					Promotional Fee	Other Misc Income		Misc Servicing Expenses												
31255	0	0	96	31	CONF	46	0	0	184	78	0	0	0	0	0	true	0	0	0	0	72	0	0	161	42	0	48	59	42	0	42	0	0	0	0	0	0	0	0	Mortgage loan income			Computer support contracts	Item processing						Loan expenses - 37 Meals & entertainment - 32					
31657					CONF							0	0	0	0	false		0	0					145								0	0	0	0					0		Insurance Recovery	0	0	0										
31826	27		44	23	CONF				147			0	0	0	0	false	4	0	0						25		128	25		97	16	0	0	0	0								Franchise and Excise Tax Expense												
31835	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
32234					CONF					-182		0	0	0	0	false		0	0													0	0	0	0									Gain on Swaptions											
32766	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
32971					CONF							0	0	0	0	false		0	0				166	268								0	0	0	0																				
33147					CONF	418						0	0	0	0	false		0	0					212								0	0	0	0					Data Processing Fees															
33259					CONF	326	150		237			0	0	0	0	false		0	0					340			156					0	0	0	0					Affiliate Bank D/P Services	Subsidiary Income		Charitable Contributions												
33268	31	0	7	0	CONF	16	75	0	12	9	10	0	0	0	0	false	10	0	0	0	77	0	0	59	23	0	91	25	11	47	28	0	0	0	0	0	0	0	0	MORTGAGE LOAN FEES	MISCELLANEOUS INCOME		TRAVEL	EXAMINATION FEES	ANALYSIS/SERVICE CHARGES										
33370					CONF							0	0	0	0	false		0	0													0	0	0	0																Defered tax adjustment				
33839	3	0	8	0	CONF	0	0	0	2	0	0	0	0	0	0	false	2	0	0	0	0	3	4	19	5	0	0	3	0	0	1	0	0	0	0	0	0	0	0				Schools and Conferences												
33857	104				CONF							0	0	0	0	false		0	0				3	241								0	0	0	0																				
34425	0	0	0	0	CONF	0	0	0	172	175	211	0	0	0	0	false	0	0	0	0	127	0	0	482	0	0	0	170	267	0	105	0	0	0	0	0	0	0	0				Merger Expense	Bank Franchise Tax	CDI Amortization										
34434	32		8	35	CONF							0	0	0	0	false	22	0	0	6	12	6	22	224	30		124	9	35	14	74	0	0	0	0		4	16	26																
34452					CONF							0	0	0	0	false		0	0													0	0	0	0								ICA EXPENSES	LEASE & RENTAL EXPENSE											
34537	1095	0	0	434	CONF							0	0	0	0	false	0	1904	686	0	1056	0	0	3679	0	0	2942	0	952	0	612	0	0	0	0	0	0	0	422												Inter-company adjustment for prior periods interest	Acquisition adjustment for prior periods and adoption of ASU 2016-1			
34555	19	2	40	7	CONF	0	0	0	59	0	0	0	0	0	0	false	5	0	0	15	67	5	5	197	27	0	42	6	16	53	8	0	0	0	0	0	0	0	0				Deferred Compensation												
34742	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0																
35057	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
35301	0	0	0	0	CONF	135134	133953	97333	229635	43318	42357	0	0	0	0	false	0	198	0	0	0	0	0	0	0	0	0	0	0	0	27391	0	0	0	0	0	0	0	0	Fees for securities lending transactions	Fee Revenue received from Affiliates	Fees for accounting services outsourcing	Fees for transaction processing services	Other Fee	Fees for professional services						IBT Rabbi Trust HTD AFS Reclass				
35570	2087		274	1084	CONF	168	122	322	5875			439	0	0	0	false	134	0	0		1286	108	233	4402	366		167	525	2102	138	1714	0	0	0	0		41	249	655	Remittance fees	Referral fees	Other Misc. Income	Other Misc Expenses			ESOP and Other Stock Award Activity									
35646					CONF							0	0	0	0	false		0	0													0	0	0	0																				
35879	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
36456	11		20	15	CONF				26			0	0	0	0	false		0	0		17			71				9		35	11	0	0	0	0								KASASA expenses												
36933	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
37051					CONF							0	0	0	0	false		0	0													0	0	0	0																				
37341					CONF							0	0	0	0	false		0	0													0	0	0	0								Computer Expenses												
