"IDRSSD"	RIAD0497	RIAD4042	RIAD4136	RIAD4141	RIAD4146	RIAD4461	RIAD4462	RIAD4463	RIAD4464	RIAD4467	RIAD4468	RIAD4498	RIAD4499	RIAD4521	RIAD4522	RIAD4769	RIAD8403	RIADB526	RIADB527	RIADC013	RIADC014	RIADC015	RIADC016	RIADC017	RIADC018	RIADF229	RIADF555	RIADF556	RIADF557	RIADF558	RIADF559	RIADFT29	RIADFT30	RIADFT31	RIADFT32	RIADJ447	RIADT047	RIADY923	RIADY924	TEXT4461	TEXT4462	TEXT4463	TEXT4464	TEXT4467	TEXT4468	TEXT4498	TEXT4499	TEXT4521	TEXT4522	TEXT4769	TEXTB526	TEXTB527	TEXTFT29	TEXTFT31	
1557	10			2	CONF				17	10		0	0	0	0	false	2	0	0			3		8	5		4	10			2	0	0	0	0								Management Fees	Recording & Loan Expense											
1669	7	0	15	4	CONF	0	0	0	0	0	0	0	0	0	0	false	20	0	0	8	95	16	0	165	20	0	167	16	0	23	24	0	0	0	0	0	0	0	0																
1829	70	0	46	0	CONF	59	0	0	54	79	424	0	0	0	0	false	0	0	0	0	41	0	0	180	0	0	118	0	0	76	54	0	0	0	0	0	0	0	0	Mortgage Fees			Other Professional Fees	PA Shares Tax	Merger Expenses										
1856	7		27	2	CONF							0	0	0	0	false	2	0	0			2	5	6	5				23		4	0	0	0	0																				
2040	40	0	22	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	22	0	0	148	14	0	53	16	19	33	17	0	0	0	0	0	0	0	0																
2161	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
2376	142	0	145	9	CONF	194	126	0	271	0	0	0	0	0	0	false	67	0	0	0	634	10	43	412	100	0	80	296	60	110	40	0	0	0	0	0	0	181	92	JOINT VENTURES	MISCELLANEOUS FEES		MISCELLANEOUS FEES												
2554			3		CONF				7	3		0	0	0	0	false	1	0	0			1			1				1		2	0	0	0	0								Software Maintenance	Correspondent Svc Charge											
2732	209	0	64	15	CONF	0	0	0	0	0	0	0	0	0	0	false	21	0	0	0	0	25	0	144	15	0	0	30	0	0	30	0	0	0	0	0	0	0	0																
2750	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
3252	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
3458	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
3720	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
3971	347				CONF	162			1755	314	300	0	0	0	0	true		0	0		113			311			466		171	338	350	0	0	0	0			198		Debt protection product revenues			Direct and indirect expense allocations/management fees from holding company	Collection expenses	Employee reimbursed expenses					Other noninterest expense items that exceed the reporting threshold:  Lending related expenses of $282 thousand and computer software expenses of $211 thousand.					
4156					CONF							0	0	0	0	false		0	0													0	0	0	0					MORTGAGE BANKING			INTERNET BANKING	INFORMATION TECHNOLOGY - BANKONIT											
4231	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
4839			24	74	CONF							0	0	0	0	false		0	0			8		162	40			54		23		0	0	0	0											Parent holding company funds downstreamed									
5069	0	0	227	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
5135	16	5	18	10	CONF	0	0	0	0	0	0	0	0	0	0	false	28	0	0	2	49	15	109	0	56	0	4	72	19	40	58	0	0	0	0	0	0	2	8																
5210	0	0	114	0	CONF	0	0	0	207	0	0	0	0	0	0	false	0	0	0	0	255	0	0	0	0	0	358	0	102	128	107	0	0	0	0	0	0	0	0				PA Shares Tax												
5461	101				CONF				148			0	0	0	0	false		0	0					158			123					0	0	0	0								TRANSPORTATION EXPENSE												
5751					CONF							0	0	0	0	false		0	0					117								0	0	0	0								Trust Accounting & Software Expense												
6039	46	0	46	23	CONF	0	0	0	0	0	0	0	0	0	0	false	25	0	0	0	0	28	78	207	52	0	0	31	59	9	51	0	0	0	0	0	0	22	0																
6141	0	0	14	0	CONF	5	0	0	0	0	0	0	0	0	0	false	7	0	0	2	0	5	0	67	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	Document preparation fees															
6329	142	1	12	78	CONF	0	0	0	72	207	55	0	0	0	0	false	75	0	0	0	33	8	94	0	288	0	518	36	115	149	133	0	0	0	0	0	13	65	31				Education & Training	Service Fee Analysis	Donations										
7009	0	0	0	0	CONF	0	0	0	7516	850	327	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Investment Advisory and Other Service Fees	Custody Fees	Other Professional Fees										
7045	19	0	26	0	CONF	0	0	0	0	0	0	0	0	0	0	false	18	0	0	4	0	6	19	0	13	0	99	14	0	52	10	0	0	0	0	0	0	0	0																
7072	54		70		CONF				25			0	0	0	0	false	3	0	0		23	1	7	109	10		18	38	55	-1	11	0	0	0	0			2	28				Loan Expenses												
7157	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
7456	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
7634	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
8033	4	17	41	15	CONF	0	0	0	0	0	0	0	0	0	0	false	4	0	0	2	19	2	0	51	8	0	0	13	15	0	35	0	0	0	0	0	0	2	2																
8462	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
8631	9	0	22	0	CONF	0	0	0	6	0	0	0	0	0	0	false	6	0	0	0	15	1	28	67	4	0	0	13	2	7	0	0	0	0	0	0	0	0	6				CORRESPONDENT BANK CHARGES												
9357	0	0	0	0	CONF	0	0	0	124	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Outside Vendor Services												
9553	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
9807	129	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	2460	0	0	547	0	0	0	150	174	0	0	0	0	0	0	0	0	1343	0																
9955					CONF							0	0	0	0	false		0	0													0	0	0	0								INTERNET BANKING												
10250	77	25	21	22	CONF	22			26	49	35	0	0	0	0	false	24	0	0		3	10	5	10	39		412	6	39	138	156	0	0	0	0					Other Service Charges			Insurance Bond, D&O, Property, VSI, SBA	Technology Vendor Expense	Loss on ATM/DEbit Cards	Downstream from Holding Company									
10849	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	8	0	30	103	13	0	0	27	0	0	48	0	0	0	0	0	0	0	0																
11145	11	15	24	1	CONF	5	33	0	49	0	0	0	0	0	0	false	27	0	0	11	0	7	139	124	22	0	0	45	12	26	23	0	0	0	0	0	4	0	11	45003 Other Misc Income	45004 Other Misc Asset Income		55032 Credit Collections												
11640	14	0	51	0	CONF	0	0	0	76	0	0	0	0	0	0	false	16	0	0	0	31	0	0	0	15	0	40	0	14	0	35	0	0	0	0	0	0	0	0				STATE INCOME TAX EXPENSE												
11837					CONF							0	0	0	0	false		0	0													0	0	0	0																				
12030	39	14	0	38	CONF	13	23	0	155	81	60	0	0	0	0	false	0	0	0	16	0	13	0	168	43	0	162	36	0	0	31	0	0	0	0	0	0	121	0	Other Income	Appraisal Fee		Federal Tax Credits expense	Equipment repairs and maint.	Local property tax expense										
12142	19	0	29	1	CONF	0	0	0	0	0	0	0	0	0	0	false	14	0	0	7	42	32	23	0	24	0	46	26	33	4	5	0	0	0	0	0	5	0	11																
12179					CONF							0	0	0	0	false		0	0													0	0	0	0					Earnings on Bank Owned Life Insurance	Brokered loan origination fees		Ohio state sales taxes.	Debit card expenses.											
12311	18234	0	0	5020	CONF	4715	9352	4187	-6040	0	0	-225001	-1	0	0	true	5450	0	0	3274	17233	0	4431	76930	0	0	43302	0	7687	0	5552	0	0	0	0	0	0	0	0	Operating Lease Income	Commitments / Letter of Credit Fees	Foreign Exchange Fees	Provision for unfunded comitments			Return of Capital	Change in minority interest			RC-M 8b. Additional URL's of all other public facing internet web sites that the reporting institution uses to accept or solicit deposits from the public, if any; www.banklikeafan.com, www.bigredbanking.com, www.bluejacketschecking.com, www.buckeyebanking.com, www.bulldogsbanking.com, www.cavalierbanking.com, www.clipperschecking.com, www.eaglesbanking.com, www.feartheroobanking.com, www.herdbanking.com, www.lakersbanking.com, www.monsterchecking.com, www.monsterschecking.com, www.oilerbanking.com, www.rocketsbanking.com, www.rocketsbanking.biz, www.spartansbanking.com, www.vikingsbanking.com, www.wwwhuntington.com, www.huntington.bank, www.huntingtonbanks.bank,www.firstmeritloc.com, www.firstmerittitleagency.com, www.fmer.com, www.mcisys.com, www.firstmerittitle.com, www.firstmeritib.com, www.firstmeritonlinebanking.com,www.firstmeritbank.net, www.firstmerit.mobi, www.firstmeritbank.com, www.firstmerit.com, www.firstmerit-bank.com, www.firstmerit-bank.us, www.firstmerit.us, www.firstmeritbank.us, www.firstmeritcorp.com, www.firstmerit.bank, www.cbcinternal.com, www.firstmeritconventioncentercle.com					
12647	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
12656	1	1	10	0	CONF	0	0	0	0	0	0	0	0	0	0	false	2	0	0	0	0	2	2	3	3	0	2	4	0	2	3	0	0	0	0	0	0	0	0																
12937	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
12946	111	0	0	0	CONF	364	0	0	0	149	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	391	168	0	149	462	0	0	0	0	0	0	105	0	Income from subsidiary investments				business development 67, travel 82											
12955	0	0	0	0	CONF	0	0	0	145	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Dues and Subscriptions												
13103	309	0	145	0	CONF	0	0	0	142	159	199	0	0	0	0	false	0	0	0	0	0	0	0	748	140	0	0	0	362	184	0	0	0	0	0	0	0	0	0				Other professional services	Misc expenses	Other computer service expenses										
13251	4		6	1	CONF							0	0	0	0	false	5	0	0				3	9	7			5				0	0	0	0			4																	
13457					CONF							0	0	0	0	false		0	0													0	0	0	0								Life Insurance Expense												
14052	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
14155	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	95	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0																
14650			4	1	CONF	6						0	0	0	0	false	5	0	0	1	13			16	8		20	8		15	3	0	0	0	0					Exchange															
14753					CONF							0	0	0	0	false		0	0													0	0	0	0																				
14865			38		CONF	56	19		35	27		0	0	0	0	false		0	0	18	26			235	37		246	98				0	0	0	0					MORTGAGE BROKER FEE INCOME	MISCELLANEOUS INCOME		ELECTRONIC BANKING EXPENSE	VISA OPERATING LOSSES											
14977	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
16551	49	12	6	7	CONF							0	0	0	0	false	49	0	0		39	12	20	134	29		146	6	16	118	27	0	0	0	0			18	5	Management fees			OREO Expense	Software amortization	Credit Reports						Prior year adjustment for adding mortgage servicing asset				
16748	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
17110	162	0	0	0	CONF	0	0	0	543	195	124	0	0	0	0	true	0	0	0	0	0	0	0	426	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0				REFERRAL FEES	CUSTODIAN COSTS	TRAVEL AND ENTERTAINMENT					2q. CONTRIBUTIONS                                 133 2r.  OTHER PROFESSIONAL FEES           157 2s. OTHER CLIENT COSTS                       117					
17147	556	0	0	0	CONF	287	0	0	535	590	0	0	0	0	0	false	482	0	0	0	854	0	415	1923	0	0	3481	302	0	1075	417	0	0	0	0	0	0	0	0	Derivative Hedge Income			Other Outside Services	Insurance Expense											
17259	3	3	9	19	CONF			6				0	0	0	0	false	8	0	0		17	1	36		10							0	0	0	0					ROYALTY INCOME	FORFITURE INCOME	OTHER MISC INCOME													
17464	211	0	146	213	CONF	256	190	0	1181	0	0	0	0	0	0	false	358	0	0	0	285	59	233	0	127	0	2095	225	438	924	234	0	0	0	0	0	0	0	0	Swap fee income	Money pass		IS expense												
17950					CONF							0	0	0	0	false		0	0					127								0	0	0	0																				
17978	2		34		CONF	15	1		25	23	2	0	0	0	0	false	16	0	0	4		11	9	82	11		32	18		3	14	0	0	0	0		1	7	11	Appraisal & Inspection Fees	Misc Operating Income	Misc Non-Operating Income	OCC Assessments	Misc. Operating Expense	Misc. Non-Operating Expense										
18050	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	468	0	0	171	138	0	0	0	0	0	0	0	0																
18135	0	0	0	0	CONF	0	0	0	142	0	0	0	0	0	0	false	0	0	0	0	38	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				Conventional Credit Enhancement Ins Prem												
18377					CONF							0	0	0	0	false		0	0													0	0	0	0																				
18827	297	0	0	0	CONF	118	0	0	0	0	0	0	0	0	0	false	0	0	0	0	129	0	0	526	0	0	383	123	0	255	136	0	0	0	0	0	0	0	0	OTHER LOAN FEES															
18836	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
18854					CONF							0	0	0	0	false		0	0					200								0	0	0	0																				
19356	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
19936	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	126	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0																
19972	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
20053					CONF							0	0	0	0	false		0	0													0	0	0	0																				
20633	48	220			CONF						10	0	0	0	0	false		0	0		51		21	262	36		99	52			26	0	0	0	0		2	159							BUSINESS FRANCHISE										
20857					CONF							0	0	0	0	false		0	0													0	0	0	0																				
21256		1	4	5	CONF							0	0	0	0	false		0	0		2	1		10	1						1	0	0	0	0																				
21359	9	0	8	0	CONF	0	0	0	7	0	0	0	0	0	0	false	6	0	0	0	2	2	0	17	3	0	4	5	31	0	3	0	0	0	0	0	1	0	0				Correspondent Bank Fees												
21630	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
21658	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
22048	31		1	24	CONF	24	29		31			0	0	0	0	false	6	0	0	5	21	8	141	145	12			24	14	43	11	0	0	0	0			23	15	Miscellaneous Income	Loan Processin Fees		Public Relations/Charitable												
22543	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
22552	16	0	17	3	CONF	0	0	0	38	0	0	0	0	0	0	false	7	0	0	1	0	3	7	6	15	0	0	12	13	5	8	0	0	0	0	0	1	0	0				EQUIPMENT & SERVICES										93		
22730	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
22936	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
23456	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												Adjustment was necessary due to a rounding issue.				
23504	911	0	276	0	CONF	126	550	143	359	186	0	0	0	0	0	false	0	0	0	0	560	0	0	557	0	0	357	180	454	226	0	0	0	0	0	0	140	0	160	MERCHANT INCOME	TITLE INSURANCE FEE	LOAN SWAP FEE INCOME	SYSTEM SERVICES	OCC ASSESSMENT											
23643	60	0	23	0	CONF	0	0	0	13	0	0	0	0	0	0	false	0	0	0	0	26	12	69	102	0	0	0	23	0	43	51	0	0	0	0	0	0	0	0				Provision for State												
23755	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
24006	135	0	143	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	146	0	0	274	0	0	0	171	0	0	136	0	0	0	0	0	0	0	0																
24378	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
24453	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											Bank revoked it's S Corp status effective 1/1/17					
24659					CONF							0	0	0	0	false		0	0													0	0	0	0																				
24668	160	5	53		CONF				76	64		0	0	0	0	false	33	0	0	13		9	16	91	16		252	19	91	127	94	0	0	0	0		15	16					Software Maintenance	OCC Assessment											
24949	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
25357	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
25647	0	0	0	150	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
26176					CONF	1183						0	0	0	0	false		0	0					134								0	0	0	0					PROCEEDS FROM LITIGATION SETTLEMENT															
26242	0	0	0	0	CONF	0	0	0	0	0	0	0	0	6	0	false	0	0	0	0	0	0	0	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0																
26457	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
26765	0	0	0	0	CONF	0	0	0	0	0	0	5	0	0	0	false	0	0	0	0	0	0	0	246	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0							Restricted stock award expenses									
27070					CONF							0	0	0	0	false		0	0													0	0	0	0								Organization Dues, Subscriptions, Meetings	Insurance	Other Real Estate Expense										
27548	94	1	59	110	CONF	0	0	0	0	0	0	7000	0	0	0	false	44	0	0	12	83	10	48	396	87	0	605	41	189	272	112	0	0	0	0	0	0	53	248							Additional paid in capital from holding company									
27614	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	343	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0																
27847	76	0	35	12	CONF	0	0	0	62	251	30	0	0	0	0	false	37	0	0	10	71	13	273	78	81	0	0	22	0	90	53	0	0	0	0	0	7	16	0				Bank owned life insurance expense	Management fees and other outside service fees	State assessment										
28013	265		731		CONF				145	216		1951	254	0	0	false		0	0		2458			899			179	389	377	172		0	0	0	0								Contributions	Miscellaneous		capital contributions	change in unallocated ESOP								
28152					CONF							0	0	0	0	false		0	0													0	0	0	0					Contract Services															
28255	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
28406	386	0	299	113	CONF	0	5947	0	247	396	0	0	1231	0	0	false	0	-27	0	0	257	0	0	802	142	0	262	242	422	195	0	0	0	0	0	0	0	0	0		Gain on Exchange of Cost Basis Investment		Amortization of Core Deposit Intangible	Technology Systems Maintenance			APIC STOCK OPTIONS AND RESTRICTED STOCK				CUMULATIVE EFFECT OF ADOPTION OF ASU 2016-09				
28675					CONF							0	0	0	0	false		0	0													0	0	0	0																				
28732	0	0	0	0	CONF	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																
29476					CONF							0	0	0	0	false		0	0													0	0	0	0																				
29636	210	0	0	0	CONF	0	0	0	150	157	0	0	0	0	0	false	131	0	0	0	120	0	0	0	196	0	546	0	0	0	153	0	0	0	0	0	0	221	0				SERP Plan Expense	Other Losses											
29878	106		380	25	CONF	41			793	276	266	0	0	0	0	false	29	0	0	1		44	39	301	94			136	134		60	0	0	0	0		1	43	98	Misc Operating Income			Other Non Interest Expense	Mortgage Loan Expense	Burglary Expense RP										
30052	6	0	3	2	CONF	12	17	0	6	7	0	0	0	0	0	false	3	0	0	1	0	1	14	34	3	0	0	12	13	11	6	0	0	0	0	0	1	0	0	Mortgage Premium Fees	Mortgage Origination Fees		Credit Reporting Costs	Subscriptions											
30502	0	0	0	0	CONF	0	0	0	225	144	0	0	0	0	0	false	0	0	0	0	0	0	0	191	0	0	362	0	0	150	0	0	0	0	0	0	0	0	0				Software maintenance, amortization & expense	Outsourced professional fees											
30650					CONF							0	0	0	0	false		0	0													0	0	0	0					Winona Acquistion	Misc Income										deferred income tax				
30810	156670	0	0	0	CONF	63366	11746	-12692	207550	24164	30535	0	0	-283	0	false	19410	0	0	0	0	0	0	0	0	0	140309	0	21293	0	0	0	0	0	0	0	0	0	0	Net Credit Card Fee Income	Servicing Fees Received From Affiliates	Losses on Noncontrolling Investments	Servicing Fees Paid to Affiliates	Outsourced Services	Collection Fees			PCI Student Loan Net Losses Recorded Against Revenue							
