"IDRSSD"	RCFD3353	RCFD3355	RCFD3365	RCFD3368	RCFD3381	RCFD3401	RCFD3484	RCFDB558	RCFDB559	RCFDB560	RCFN3360	RCFN3404	RCON3353	RCON3355	RCON3360	RCON3365	RCON3368	RCON3381	RCON3386	RCON3387	RCON3401	RCON3465	RCON3466	RCON3484	RCON3485	RCONA514	RCONA529	RCONB558	RCONB559	RCONB560	RCONB561	RCONB562	RCONB563	
1669													0	0	94132	0	264626	25972		8970	0	54413	14171	582	64851	19607	32351	94487	768	30034	0	10441	47814	
1829													0	39060	267925	0	408121	9441	0	22965	0	130114	113618	10999	25645	23103	43218	9265	52267	34521	673	476	124882	
1856													0	30089	41251	340	129243	42334		10316	0	3667	20707	0	1839	32074	26940	0	42714	0	0	333	19011	
2040													9141	23495	124209	1716	196707	2637		23429	0	25078	66483	0	18798	6521	29776	11239	7139	38781	0	1491	58348	
2161													0	0	76150	5003	137204	13815	10856	17433	0	37457	3078	0	32489	14057	11145	0	7434	15881	280	7625	33456	
2376													40010	682450	2787731	0	3374360	1545	0	22372	0	205209	2560060	0	49644	483852	356145	0	364332	0	0	89	1126547	
2554													74		6367	0	13660	2543	1614	1757		262	1938	0	2281	732	2613	0	0	3846	0	386	2001	
2732													0	0	340130	0	571127	73273	0	34645	0	24257	279304	0	51997	90738	33846	65882	0	66165	0	1708	173166	
2750													163		41665	820	60357	1249	21861	2753		1020	14552	0	10000	5063	9190	1847	860	9207	0	807	16176	
3177													0	112803	777148	0	1066200	92742	0	7898	0	660676	108043	0	70653	69085	109872	14172	87525	8532	0	531	570529	
3252													507	5000	94598	110	179768	0	46355	9886	0	507	30396	75	48711	34572	14663	1823	56883	18236	0	6119	27501	
3458													6574		25059	128	40726	249	3562	3153		5112	12007	0	7592	6005	7032	8620	1687	2782	0	950	4631	
3720													3714	0	140450	0	235912	21601	9465	13062	0	34316	74829	0	69163	29553	24683	31829	11575	6918	0	6568	38814	
3971													0	36955	562917	2724	750447	75452	42953	61092	0	148329	258490	33219	19060	72251	122956	14263	35366	15707	0	18737	356423	
4156													975	10845	159221	1915	211593	786	11784	17786	0	43692	83506	410	45091	32672	23350	15692	0	16607	0	2043	44121	
4231													0	0	49437	0	114178	0		3029	0	9222	28933	0	12262	25467	18502	2117	30837	17583	0	4754	22356	
4437													2312	1305	135982	0	241091	10444		18021	0	55841	56229	0	50560	23175	21223	25921	36484	16018	0	2576	87663	
4839													0	22000	240042	0	338693	10031	0	4443	0	41898	192077	0	13408	30157	8632	9284	29224	39263	0	1327	75893	
5069													65	0	317895	0	402358	38154	0	3163	0	48672	266394	0	1572	130822	12048	0	0	31147	0	0	48058	
5135													22723	22723	326422	0	458273	63477	80081	26526	0	51210	149855	0	46269	122115	46075	35891	0	4573	597	11176	74464	
5210													46289	74339	839473	0	1132866	27529	1027	45305	0	413981	303139	0	32493	89747	158230	66701	84668	36419	0	14721	462878	
5461													0	0	306844	0	533841	4743	10232	33132	0	41394	202339	0	10357	26536	9192	53340	26291	71673	0	10245	405463	
5751													37	2818	134977	1828	191152	998	26546	27343	0	23723	50167	1666	19225	26364	18371	0	11466	28558	0	5303	68259	
6039													0		52425	1600	90179	15053	3204	4459		6561	34718	0	10257	9886	19223	11060	0	272	507	2431	16067	
6141													0		18220	5884	59214	0	1574	936		3350	8551	0	19888	6191	5213	9138	404	12803	0	3801	3823	
6329													0	0	407956	6987	514616	19997	4861	31780	0	92958	131138	0	37466	126590	75938	26096	0	6392	1235	147734	83688	
7009													0	0	275078	0	566421	6550	0	83427	210	0	0	0	0	0	0	191089	0	88042	0	191378	418854	
7045													0	0	80224	0	200262	11484	6613	4454	0	34142	20666	0	86087	12160	18160	2578	59542	38284	483	11285	36624	
7072													0	15000	148926	1058	185988	225		4219	0	97521	43432	0	8712	25006	41307	0	10130	4839	0	2268	50430	
7157													0		24030	1641	45503	0	2851	4484		8959	3501	66	5428	3892	10593	10928	1	7793	0	4143	11880	
7456													461		54050	0	78695	3683	19201	10667		5886	16252	0	15264	5182	10704	1431	667	15772	0	1972	19589	
7634													0		43838	0	63346	5917	2578	4793		10864	19295	0	6192	16474	14367	265	6687	4905	0	6307	7796	
8033													0	13523	179787	5419	220030	10870		14604	0	77356	99868	0	23998	25984	38314	5320	0	2332	0	4482	17799	
8462													0	0	51520	3550	175514	4441	7970	14605	0	8364	10624	0	36795	30454	10662	51052	34150	14883	0	9940	9252	
8631													0		32797	1750	67511	13664		8412		12635	6528	0	5975	6498	9224	13373	0	0	0	4873	20165	
9357													0	557	342999	523	485014	51958	0	132622	0	122960	66236	0	14742	5990	1370	32103	21170	997	0	2738	353482	
9553													2068	46370	100356	191	172735	5607	46795	6670	0	6830	37321	0	19481	28108	17535	601	19437	37750	0	2042	26243	
9807													61838	187500	1631495	0	2223237	17503	0	42573	0	403896	1183801	0	10702	244252	152107	63417	29681	300342	0	531	1243979	
9955													0	9276	72617	0	133022	20385	12966	9175	0	6450	40565	2231	20802	11559	8777	9961	0	25948	0	1230	46157	
10250													0	0	234038	0	366825	9817	0	50452	0	47157	128884	0	20565	35547	52373	19947	50950	13822	201	6252	203397	
10849													0	0	120370	1342	257204	7297	7280	6385	0	26184	85970	0	10644	16362	87197	29059	50060	5567	0	1559	111533	
11145													0	12793	167082	0	207279	2648		9045	0	73486	61093	0	55444	18432	16380	4429	3358	13484	0	21247	44741	
11275													39111	131543	1312952	2823	1496414	15657	0	229130	0	565127	508129	0	64979	245661	200114	44889	2636	26071	0	1958	611365	
11640													2464	34870	215789	0	347398	6740	44035	30175	0	31095	98396	0	12463	45228	41257	28859	22062	46264	0	11242	155250	
11837													0	11832	47753	0	100826	3606		9150	0	4792	28216	0	32899	9959	14919	32229	8504	4224	98	600	9807	
12030													0	0	261088	3172	332464	18367	0	25631	0	55882	150596	0	30409	41830	73868	3172	0	15748	0	17103	59675	
12142													72	1359	112098	3821	211986	564		17615	0	31758	48075	0	46475	22356	24805	17974	28774	26479	476	11271	39385	
12179													0		28950	0	39454	3431		1809		20236	6125	0	3562	2985	8613	776	4	33	0	561	9289	
12311	502720	5365257	0	70545855	919669	194909	1764120	724841	9698132	3619074	0	1217865			48546421				46905	13998063		14690050	7870144		644599	820398	2496674				264339	9988410	47946350	
12647													0		60235	0	98520	332	8397	7147		16360	23966	0	5072	22504	9156	649	985	16529	0	386	30448	
12656													0		10543	3639	16217	5	607	1204		5488	1787	71	2273	2511	3366	200	0	750	0	1513	2973	
12937													0	0	154620	0	198800	27258		13428	0	38827	101021	0	17800	32356	8688	2000	0	0	0	394	55314	
12946													1196	820	968612	16099	1260951	1752	23806	137153	0	308911	458222	0	107156	347683	156532	31118	56927	102831	1056	37497	468837	
12955													0	1848	114653	8658	143447	15991		16399	0	30690	66052	0	13450	19631	14531	0	0	450	0	741	44428	
13103													0	108105	1343390	8	1714220	38113	0	107992	0	591796	406887	0	90043	130139	154888	25464	86880	161189	0	236718	905570	
13251													6		23857	314	39505	10731	2485	3103		6596	8921	0	3267	720	7131	548	2	939	0	2589	16715	
13457													0		11345	0	24631	5212	5086	953		20	4805	0	3920	2426	2719	733	0	4267	0	469	5659	
14052													28		42500	269	58596	7159		3385		15013	18834	0	7778	3870	5778	165	550	3842	0	3828	18973	
14155													3597	4112	137200	48	169999	2003	29674	6506	0	46954	37180	0	49309	14053	17852	0	2613	11047	0	5299	43731	
14650													0		20716	915	31724	4622		4087		2206	2531	0	4458	1365	3607	1000	17	1606	0	10529	7463	
14753													0		24596	495	45158	2468	14978	2431		1508	5129	0	0	4197	8634	1500	2081	10720	0	726	13389	
14865													0	0	287068	12	353924	19512	54203	33197	0	18617	169244	0	80487	23834	26625	11149	944	5686	689	2822	105144	
14977													7		36287	0	48284	3192	12503	3178		8094	7447	0	3827	11971	8900	753	4672	0	0	3900	4939	
16551													1404	12728	233997	1404	327400	4781	0	22140	0	68230	121374	47	62741	27914	69553	4505	1325	56287	435	9996	63621	
16748													5		46296	1711	76732	4704	7693	5106		10772	21078	0	4584	7874	12045	1791	5577	9693	0	1005	24517	
17110													0	0	65982	0	109392	19070		8985	0	228	0	0	0	77630	9917	100	0	15402	0	51846	0	
17147													165366	201864	4351621	0	6285305	89783	96650	1057025	0	980197	1625414	601	50949	260817	828527	100	672339	531654	0	79812	2644612	
17259													796		36445	15	63673	5979		8939		10326	9257	49	19	4951	12696	1040	1466	12853	0	4910	6009	
17464													1	0	1654528	273	2520158	133482	718	336242	0	276252	971780	0	217844	83488	99632	37553	340799	56784	5351	34198	1586317	
17950													1898	0	185667	0	393007	9003	21307	23465	0	39893	85371	1269	67670	57451	23951	10902	111415	59151	0	12945	143732	
17978													0	6762	133957	0	318288	5067	3	0	0	97768	34027	0	25766	50613	64690	158140	0	4385	0	2162	61800	
18050													825	1706	277515	0	491215	11820	6439	12087	0	80984	165336	0	55549	63454	47688	2750	120137	52113	0	10992	113496	
18135													14499	16400	90738	20367	265696	247		42556	0	40625	3444	0	25855	27033	17807	94308	0	32113	0	4113	58421	
18377													0		28844	0	55721	15501		37		28650	2344	0	0	11466	19446	500	8481	453	0	33	17890	
18827													0	4924	682783	0	995548	85455	0	93321	0	253702	269641	8078	196089	29489	69220	18919	73836	60563	0	10206	342305	
18836													44	2547	113533	0	148872	5466		2636	0	63941	26668	0	9473	26604	40209	3797	4817	8461	0	13936	26740	
18854													0	0	429527	0	532427	66631	51223	181678	0	36994	151259	0	97176	163412	33547	0	0	0	0	4774	70563	
19356													39	1801	38933	651	79998	30		12343	0	10014	12999	0	12425	10632	13320	0	13204	22031	0	2696	16966	
19730													0	15000	1868719	3946	2452169	169432	3820	483631	2957	205478	1131701	0	15139	207186	235421	195490	3147	8149	0	2407	996878	
19936													0	5000	156394	0	246886	45912	12889	26836	0	34495	73715	0	59381	29365	26382	8899	20905	4150	0	4651	54755	
19972													0		42216	0	93512	21899		109		42203	1100	0	0	0	0	0	415	23144	0	12	75232	
20053													0		72126	640	91480	6289	8436	8214		20359	25202	0	5033	18118	39125	298	2830	5866	43	1551	13343	
20633													174	6002	173383	1507	292813	6899	0	19889	0	35825	112272	0	41452	35393	38354	8300	43170	23727	0	3237	107959	
20857													0	3808	67174	0	255639	50186	29481	7844	0	3834	24934	0	29733	15032	5374	18218	13113	81734	0	1081	33040	
21256													0		3879	557	9714	3671		411		1998	1122	0	1805	1175	1210	580	62	0	0	272	1806	
21359													0		28442	0	48729	6816	7204	1641		7561	9184	0	7202	4005	4812	3156	2277	4558	0	2672	16407	
21630													0	1412	63313	3079	110740	2796		15048	0	20996	21769	0	32585	19582	12312	8402	17910	8497	0	5500	32236	
21658													0	0	97560	451	160421	12136	7816	5847	0	28055	48332	0	37524	15895	36627	25505	10314	7815	70	5669	33578	
22048													4420	11641	140669	37	196264	3215		18772	0	33554	74099	61	53221	28171	25401	4551	14942	17160	0	10885	19462	
22543													0		71722	7335	102199	12032		4525		30932	35420	0	32879	3862	7708	2943	0	2313	0	845	19406	
22552													3412		86346	307	97660	543	25309	10080		10334	37323	0	15955	16216	16112	1847	738	2853	0	1561	16533	
22730													3867	0	82610	4859	166187	12383		7927	0	26294	21500	4922	28033	6279	15187	33145	8588	13440	0	21968	54068	
22936													43	11	97200	2443	173525	26849	7799	15233	0	26440	44332	0	18611	16598	25645	15312	12616	692	0	2728	44467	
23045													0		11954	0	40920	4936		752		4939	4350	0	11106	3672	2342	9070	7281	6110	0	367	10682	
23456													2	60	75844	1605	109702	550	9135	9625	0	24459	24343	0	29203	13203	21573	0	12502	14904	189	5698	18893	
23504													138519	165677	2351440	0	3609557	27248	0	415577	0	456516	1441532	0	24696	172604	128189	71222	636085	220058	6	17153	2175079	
23643													97	294	121819	165	190043	2938		25773	0	26972	46818	0	42862	45527	35732	40865	403	25177	0	13336	15710	
23755													218	0	127920	306	195721	3550		13129	0	25922	54393	0	42367	12259	14812	0	32979	17431	0	4939	69015	
24006													0	24194	732399	4436	1197303	58870	0	42127	0	279867	408221	0	85768	130422	181009	192989	150004	14429	0	491	540845	
24378													0		44310	399	63440	5888		560		39741	2717	0	9054	7125	21174	2498	6906	0	0	1292	17079	
24453													0	20970	182054	185	250071	37002	0	12149	0	78669	88515	0	34943	13477	20442	8033	165	0	0	2711	55030	
24659													0		28464	5311	59100	17544	6547	7211		4022	7781	0	10686	2884	7204	2658	0	2636	29	2823	21740	
24668													1559	0	659212	0	877273	32442	3468	221979	0	203150	195902	0	9847	296657	69130	0	58315	97323	0	14009	366452	
24855													0		4655	1576	17976	9100	1807	1277		67	749	0	1976	260	1300	0	0	0	0	755	5371	
24949													4422	0	271660	1083	434146	99281	744	27317	0	64150	166889	0	48868	44326	100492	4839	17828	5703	299	10800	100250	
25357													9	4422	223496	6713	358736	2964	33350	18132	0	32581	131389	0	89417	43015	52610	0	98531	250	0	6264	79377	
25647													0		47054	0	57154	8730		4436		14611	27967	0	1654	14980	12135	0	0	643	0	40	14312	
26176													0	75130	270253	105957	401521	2715	0	258	0	72842	197146	0	32852	151632	29809	1944	12100	0	0	7	65150	
26242													8577	22391	292417	1009	432112	11661	7845	14683	0	126924	133818	0	69816	24543	40483	44193	0	38198	933	7688	157997	
26457													11		19932	56	27078	1783	1122	1233		4465	12345	64	2807	1639	5102	4511	0	0	0	767	10163	
26765													0	0	358644	0	471531	30669	218	89130	0	25203	234633	0	52332	55071	11715	0	65891	2545	0	9448	190309	
27070													0	0	366078	0	610952	22981	0	0	0	358036	5250	0	22487	117028	150975	24050	134595	48296	842	732	185627	
27548													220	5577	410964	15111	613011	6259	1330	132627	0	94530	174919	0	63138	41632	37059	5209	85168	43812	0	4488	242812	
27614													0	26726	189279	0	401079	12193	583	16302	0	135126	16527	0	60535	33931	46483	0	95019	67794	285	3419	108806	
27847													0	16589	308551	0	488549	19064	7419	16856	0	103130	166623	0	55657	120023	87996	0	73878	55463	0	13367	76020	
28013													76413	463647	2311467	0	3184474	52009	0	45240	6662	501191	1765892	0	190034	163218	395801	0	561871	11408	0	1681	1062506	
28152													3	908	91193	0	129200	12650	9831	11777	0	23408	41777	23	12787	7103	21403	2926	3417	12046	0	3601	47100	
28255													0	898	200530	0	310761	16966	2133	26409	0	24863	170182	0	108447	26901	12377	36886	23253	16395	0	1722	63434	
28349													0	0	52808	250	81764	10660		16338	0	12835	21031	0	13208	18039	19906	2000	2561	1179	0	2393	7923	
28406													0	207446	1449817	0	2002095	11380	0	175053	9305	723942	498646	0	134167	156672	235261	29254	183832	229725	0	38659	647257	
28675													0	1913	57943	0	112707	2476		2104	0	34608	15614	0	21072	33855	17571	40	44143	3463	0	2184	20759	
28732													33		49363	3502	88374	2764		7514		13934	20586	0	8400	10216	9571	6211	7746	5843	0	3767	26692	
29476													0		47472	445	54449	316	15138	6973		9302	16168	0	11468	18252	8294	0	0	2266	0	928	3024	
29636													118719	20051	431441	0	979141	49909	1025	40331	0	104766	241700	0	53588	116537	94718	238354	98460	90156	1041	24806	426324	
29878													0	0	1535817	0	1750358	32500	0	0	0	907657	628160	0	91197	122118	198435	112523	0	0	0	92	730665	
30052													0		15936	0	28407	5805		544		2171	8684	0	1957	1569	2880	0	1795	0	0	543	11321	
30502													36974	37837	569976	0	947636	81232	0	59223	190	199608	251421	0	38016	88690	124612	40098	158132	58097	0	7934	485761	
30650													0	0	82639	131	115650	10784		3824	0	14378	61283	0	17121	7613	12987	0	12060	6369	0	893	38109	
30810													0	21822958	70479926	217	85392743	9970556	0	169997	0	172416	0	0	46722	5250682	20597765	1803750	1332498	228139	55877823	14219823	22738858	
30874													35570	124759	752744	0	1121931	26625	0	185591	0	148157	390794	0	93163	55449	221803	301	267527	19407	0	320	262184	
31134													0	5000	69230	0	116784	23223	3908	8377	0	29836	16517	0	22661	14562	14043	3000	1898	11782	219	10552	16288	
31255													2982	22217	420234	4374	563911	13646	0	50868	0	173986	169278	0	27756	101803	38635	0	62119	29193	0	1226	185784	
31657													2887	0	66428	0	137380	0	6810	5084	0	24003	24516	0	24674	39183	17787	0	64177	0	0	5974	9472	
31826													0	0	160130	0	268872	26138		10134	0	73316	57631	0	18363	46617	32061	12624	16545	37103	0	12743	36911	
31835													487	8102	75500	1805	129034	2683	36497	8146	0	8199	14813	0	11995	32844	14305	14388	304	17035	0	7618	6743	
32234													16201	0	36303	0	117124	27087	3992	9192	0	15301	10823	0	33139	3907	9414	33635	0	5106	0	590	19881	
32766													0		23212	0	61764	21097		2907		9310	8165	0	6468	4480	3903	0	12	13141	0	2751	16955	
32971													0	18167	153318	0	219026	18238		10614	0	92232	39932	0	32502	14890	28968	728	4772	20351	0	2170	68873	
33147													0	39754	386956	0	460305	27834	36380	113170	0	67378	162376	0	9621	107669	36090	9071	6298	5945	0	7652	209254	
33259													54	3310	483254	1986	636256	71390	0	67606	0	54034	359844	616	15777	44317	114250	39470	1080	4442	0	1154	373605	
33268													1657	0	68901	0	156020	1603	12980	11060	0	20935	20334	0	12526	22561	15373	0	28486	49534	0	2951	36873	
33370													0		14757	0	26957	6646		0		11658	3099	0	3051	6129	8463	2960	1355	0	0	28	3308	
33839													0		18002	0	35699	7709	4680	1953		6777	2190	0	8556	2320	5852	2388	0	5349	0	2402	8761	
33857													7652	19554	516733	284	638505	10550	88121	77073	0	55598	264991	1040	82034	42637	134771	0	1172	74691	7	19413	151988	
34425													9225	31141	341718	1653	429971	6859	90	23281	0	186245	109986	0	4887	60689	58546	7649	13593	27022	1232	3763	210687	
34434													0	0	247426	5185	306047	1603	0	21663	0	85310	118501	0	88965	46214	39819	27	24260	11114	1402	18275	115174	
34452													690	0	72843	791	133719	5252		14317	0	33554	19557	84	33148	25879	14754	500	16162	28633	0	1738	30265	
34537													212199	50000	2121053	0	3467604	77563	399	144085	0	729941	1092247	0	84274	132862	166327	3832	728702	168162	0	84798	2246732	
34555													1365	6572	136807	1043	275215	9629	16951	9919	0	24341	78000	220	48839	37801	55321	16508	28622	64418	13	5709	44518	
34742													927	2174	275692	1490	338281	13035	3906	9144	0	146216	105108	0	12736	94393	75981	3685	7291	4879	0	5356	116423	
34836													0		10658	601	23683	0		826		4076	4340	0	2080	7790	3922	3276	0	2920	0	958	2737	
35057													0	5139	116206	0	150837	11630	9266	7143	0	35671	61694	0	24404	16660	36468	821	3905	4625	0	2421	29991	
35301	6701074	1951608	2845602	222894450	54123154	5173981	916568	25051549	23858085	51067589	1310243	94521217			16490038				0	3108044		0	28928		11026765	51372318	0				0	281313	1441219	
35570													156508	3139331	16423058	0	20670070	150551	0	887893	0	5339102	10120998	34	447975	1672128	1741005	4257	3017477	83814	0	71612	10073338	
35646													0		15368	1902	53571	4004	1634	4024		3410	3682	0	3200	2716	6621	1568	6	23913	62	1405	16911	
35842													156	0	85713	0	187607	9193		4583	0	23376	45481	0	22392	46749	32737	0	48225	36201	0	8443	44665	
35879													0	19804	126791	0	230952	8811		1385	0	112197	11264	0	26837	28091	60306	34666	25964	20292	90	2064	72541	
36456													51	0	90262	0	125589	4864	40242	13820	0	5697	26136	0	23559	20672	17278	3477	4140	14614	0	4338	34142	
36933													0	0	76078	241	100245	2491		6523	0	35758	25075	0	16612	21902	18141	1767	8965	3645	0	5881	5525	
37051													0		58761	0	75627	8518	9919	2593		8910	30202	0	5331	22502	15228	0	89	5028	0	458	19116	
37341													0		27654	1934	37893	3234		2445		12240	9707	0	2078	7577	7743	1178	0	1240	0	994	6169	
37435													0	0	589803	3310	1142464	79759	2052	50260	0	207206	284718	0	78373	100031	163715	93372	217823	93346	2121	28959	599846	
37640													36321	138152	1496791	0	2312815	16123	68359	340411	1430	269278	772921	43700	609092	154389	190460	10000	417853	193236	6814	20546	493538	
37659													11		34638	749	42098	0	5898	5763		6702	7915	0	6159	7500	7333	831	0	2694	0	6549	5528	
37743													0		53749	1098	91246	6992		11249		10085	26968	0	9806	11603	9127	250	3879	12974	101	886	36349	
37949													4769	0	107661	0	224218	720	26105	36154	0	5944	38095	1011	59509	19031	23011	21101	25624	48790	288	988	71015	
38740													0	10000	130165	0	189769	22827		12013	0	60379	50109	0	36109	22328	28947	0	17465	6213	0	6994	46170	
39327													6243	0	236036	13131	474241	74611	149	16052	0	89004	128884	0	11932	23204	38307	100714	0	24096	0	1263	293318	
39756													4270	18133	475491	0	568423	702	38122	133302	0	83992	211365	0	60209	72472	25935	0	36346	13066	0	8710	165535	
40033													0		25705	3222	60429	3623		4047		9804	10048	0	10727	5024	13919	4115	1586	15017	0	2149	8344	
40350													332		28099	36	47279	7651	7492	4454		7071	7416	0	4118	3765	8223	7705	0	1264	0	1562	12115	
40499													0	254495	1796896	0	2155105	22528	0	73544	0	900163	264788	0	51269	237141	217333	45267	123333	26064	0	557823	1115548	
40855													0		58291	2823	92260	2610	18086	6859		5168	25218	0	9058	10202	13827	998	16355	8689	10	1353	35981	
41245													708		30868	351	48953	1789	2758	1963		14681	8121	0	2994	6676	13791	2824	0	10065	19	3059	11815	
41553													0		20911	3583	97589	3156	6615	1732		4360	4417	48	35466	8442	11584	51501	3	13563	0	3439	15378	
41629													0	6998	149016	2484	178848	6521		9651	0	60670	59111	0	29575	22747	22124	3334	2220	2996	663	18224	27171	
41825													0	8376	154013	3576	228947	7630		20009	0	46875	62371	0	17354	18087	10825	10703	28375	7813	0	753	83735	
41937													597		27100	2741	65014	3	8789	2815		4906	11868	0	8740	4099	8047	3704	14561	12177	2	479	24613	
41955													7		21610	590	34668	114	18960	341		4	1415	0	8459	3561	6072	5306	3804	1543	0	890	6463	
42037													0		37220	0	63170	5077		6928		11442	14028	0	8763	4972	8716	420	4576	5014	0	2196	16402	
42354													0	0	73340	0	161222	8613	9076	5608	0	26585	27204	0	56559	11808	8287	19928	31205	18260	0	4850	30189	
42372													0	5444	287547	0	346734	17163	0	3871	0	244011	38015	0	21293	94561	66057	6432	7037	18046	96	1554	87979	
42420													126601	1326719	4684193	0	6510342	22429	292	977617	0	1214050	1727884	0	73757	158878	456904	60666	1032260	101880	0	605010	3333277	
42448													0	107929	846427	0	1013245	14547	132228	62433	0	294667	315569	0	170570	241806	128916	18687	0	84700	3119	29271	194570	
42457													263		20262	380	38294	743	8463	7901		110	2580	0	12179	1804	3798	4068	1827	9555	0	1014	8207	
43052													0	0	57494	0	82826	3586		12565	0	12151	28624	0	7291	7110	11775	2798	3616	10464	82	1491	20823	
43351													0		35574	506	47131	1809	995	9184		9879	14631	0	2868	13795	10667	0	196	4035	0	1880	6612	
43856													0		20542	0	58986	12935		1467		13207	4554	0	15311	4236	4319	8614	545	9457	0	2185	14043	
43959													0	0	64283	0	184576	13139		10122	0	17078	34582	0	20582	12109	6148	14281	52778	30500	0	2027	95732	
44040													0	0	184239	2036	308619	11506	36302	11833	0	34164	84855	10186	67528	19628	25020	4461	56849	38059	0	3201	129326	
44433													880	44000	239518	0	347616	5740	0	31923	0	65990	136448	0	12993	82896	17754	23573	48984	15482	61	4934	78882	
44741													16348	23124	317896	0	431388	8976	169	12586	0	59348	77696	44	13262	22763	35317	52669	0	43490	1511	166269	196330	
44750													0	0	100774	75	156302	5086		8519	0	39270	47391	214	42728	20816	31472	10967	5966	15384	0	4578	42805	
44929													0	0	79256	1310	139937	362		1505	0	54387	16439	0	29382	5683	20169	33923	7	2471	0	6022	37823	
45038													8285	690	106814	830	166400	17909	7323	32404	0	13794	51568	0	32060	30673	36062	9631	8473	17653	0	1066	30269	
45047													0	0	91575	293	134857	12503		4399	0	40235	34391	0	17336	30522	19992	10979	266	0	654	7061	19083	
45056													0		45556	0	70821	7865	23213	9395		2519	6603	0	7490	2669	9871	5723	1069	7677	0	2823	25506	
45430													0	1803	62188	1574	120870	16977		542	0	42951	13790	0	7932	32299	26451	6978	14534	10768	0	4788	16701	
45458													6		35922	1491	57187	2270	4947	2950		11920	13927	0	6191	5082	14266	2757	8356	2853	0	2221	14359	
45551													4539	16957	610939	2252	761213	10088	145766	155838	0	56725	242089	0	64229	102463	75703	1029	18463	35786	375	7435	451362	
45560													1	84451	902305	0	1546188	17260	1939	115009	0	280706	473851	291	25168	74976	29026	100572	391891	57053	0	18340	1050274	
45775													0	14194	147796	0	179694	11669		518	0	94239	53007	0	18805	24276	33809	3057	5385	2209	0	32	52285	
46053													0	0	105985	1814	182150	4299		13058	0	28464	54501	0	40175	7636	23440	11997	20975	18531	0	4811	52130	
46941													563	7201	80274	0	119299	1520		4871	0	25370	45083	0	13669	6280	17902	7765	14463	5577	0	2895	30113	
47247													0	34100	181129	0	314833	27904		14954	0	65047	92034	0	19962	21684	32718	17940	22259	24979	0	2826	101261	
47256													0		19486	325	27643	4710		1104		6802	8752	0	4115	1431	5463	226	0	0	0	419	7759	
